Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,arkm.com,Sports > Fishing,=,00:04:15,5.60,44.65%
2,tsurihack.com,Sports > Fishing,=,00:03:03,2.12,51.56%
3,anglers.jp,Sports > Fishing,=,00:02:43,3.38,48.76%
4,chassepassion.net,Sports > Fishing,1,00:00:13,1.72,18.31%
5,tackleberry.co.jp,Sports > Fishing,1,00:04:52,9.04,17.82%
6,luremaga.jp,Sports > Fishing,2,00:01:04,1.75,73.48%
7,izuchai.dance,Sports > Fishing,=,00:01:15,1.82,56.34%
8,majorleaguefishing.com,Sports > Fishing,13,00:02:24,2.06,54.57%
9,fishingbooker.com,Sports > Fishing,=,00:02:08,3.18,51.77%
10,tides4fishing.com,Sports > Fishing,=,00:01:27,2.40,48.67%
11,tsurinews.jp,Sports > Fishing,5,00:01:53,1.99,54.27%
12,umikaisei.jp,Sports > Fishing,5,00:01:16,2.29,50.22%
13,chowari.jp,Sports > Fishing,=,00:01:34,3.15,49.9%
14,bdoutdoors.com,Sports > Fishing,1,00:03:41,5.79,31.51%
15,bassmaster.com,Sports > Fishing,14,00:03:09,4.03,37.15%
16,surf-life.blue,Sports > Fishing,=,00:00:26,1.31,84.46%
17,fisher.spb.ru,Sports > Fishing,8,00:01:56,3.34,41.07%
18,bassresource.com,Sports > Fishing,2,00:02:49,2.47,57.08%
19,advnture.com,Sports > Fishing,8,00:01:17,1.63,56.86%
20,stripersonline.com,Sports > Fishing,6,00:05:11,7.92,38.25%
21,fishingmax.co.jp,Sports > Fishing,9,00:02:00,2.32,57.05%
22,fishusa.com,Sports > Fishing,3,00:02:12,4.34,44.45%
23,tsuritenki.jp,Sports > Fishing,5,00:00:46,2.81,38.07%
24,castingnet.jp,Sports > Fishing,1,00:01:47,3.04,56.9%
25,fishing-v.jp,Sports > Fishing,1,00:01:02,1.87,47.15%
26,wired2fish.com,Sports > Fishing,2,00:00:54,2.11,53.95%
27,want-s0me-push.com,Sports > Fishing,=,00:01:55,1.64,64.78%
28,marine-deals.co.nz,Sports > Fishing,=,00:04:01,6.04,45.81%
29,point-i.jp,Sports > Fishing,7,00:02:04,2.66,61.92%
30,ourboard.org,Sports > Fishing,=,00:01:35,2.82,41.7%
31,cartedepeche.fr,Sports > Fishing,8,00:03:17,6.39,20.47%
32,fishbrain.com,Sports > Fishing,=,00:01:24,4.61,56.81%
33,lekumo.biz,Sports > Fishing,1,00:02:58,2.52,53.68%
34,fishing.net.nz,Sports > Fishing,3,00:01:22,1.74,49.13%
35,theflyfishingforum.com,Sports > Fishing,2,00:02:59,3.22,46.19%
36,yokohama-fishingpiers.jp,Sports > Fishing,3,00:02:02,2.07,57.95%
37,pacificpeche.com,Sports > Fishing,3,00:04:12,5.20,43.4%
38,kaida-fish.ru,Sports > Fishing,2,00:07:08,10.17,33.84%
39,saltstrong.com,Sports > Fishing,6,00:03:54,16.29,50.66%
40,anglingtimes.co.uk,Sports > Fishing,3,00:00:54,2.09,34.94%
41,huntingandfishing.co.nz,Sports > Fishing,6,00:03:07,3.74,37.86%
42,s3licensing.com,Sports > Fishing,8,00:05:06,5.13,37.31%
43,auth-basspro.com,Sports > Fishing,5,00:01:48,1.82,62.38%
44,orybe.com,Sports > Fishing,8,00:01:00,1.82,53%
45,fusil-calais.com,Sports > Fishing,21,00:01:28,2.35,45.55%
46,donfisher.ru,Sports > Fishing,27,00:02:07,3.52,43.82%
47,shop.ishiguro-gr.com,Sports > Fishing,=,00:03:37,5.42,39.32%
48,talex.co.jp,Sports > Fishing,6,00:03:04,2.78,50.13%
49,fishingreminder.com,Sports > Fishing,5,00:01:02,1.72,61.07%
50,siamfishing.com,Sports > Fishing,12,00:03:51,4.92,44.77%
