Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,gunbroker.com,Sports > Hunting and Shooting,=,00:07:05,8.33,32.91%
2,palmettostatearmory.com,Sports > Hunting and Shooting,=,00:04:59,6.22,40.96%
3,sportsmans.com,Sports > Hunting and Shooting,=,00:03:59,4.89,46.39%
4,watchseries.pe,Sports > Hunting and Shooting,=,00:12:27,6.54,31.96%
5,sectordetiro.com,Sports > Hunting and Shooting,12,00:01:59,4.77,61.33%
6,midwayusa.com,Sports > Hunting and Shooting,1,00:04:20,5.37,37.82%
7,guns.com,Sports > Hunting and Shooting,1,00:03:02,4.81,43.42%
8,ar15.com,Sports > Hunting and Shooting,1,00:11:58,8.23,35.1%
9,gun.deals,Sports > Hunting and Shooting,=,00:04:05,3.89,39.64%
10,bladehq.com,Sports > Hunting and Shooting,2,00:03:48,5.86,49.14%
11,primaryarms.com,Sports > Hunting and Shooting,1,00:04:19,4.81,42.8%
12,sigsauer.com,Sports > Hunting and Shooting,1,00:02:42,3.73,45.69%
13,brownells.com,Sports > Hunting and Shooting,=,00:03:11,4.54,43.28%
14,usconcealedcarry.com,Sports > Hunting and Shooting,2,00:02:07,2.84,53.52%
15,pewpewtactical.com,Sports > Hunting and Shooting,=,00:02:17,2.02,58.25%
16,smith-wesson.com,Sports > Hunting and Shooting,2,00:02:49,3.56,45.92%
17,guns.ru,Sports > Hunting and Shooting,1,00:05:00,5.80,50.96%
18,511tactical.com,Sports > Hunting and Shooting,=,00:02:53,4.08,45.21%
19,armslist.com,Sports > Hunting and Shooting,=,00:05:06,5.96,37.46%
20,ammoseek.com,Sports > Hunting and Shooting,2,00:03:41,3.28,38.28%
21,ruger.com,Sports > Hunting and Shooting,=,00:02:46,4.06,42.05%
22,evike.com,Sports > Hunting and Shooting,2,00:04:54,10.06,39.96%
23,springfield-armory.com,Sports > Hunting and Shooting,=,00:02:26,3.61,46.52%
24,glock.com,Sports > Hunting and Shooting,=,00:01:28,2.38,47.24%
25,sportsmansoutdoorsuperstore.com,Sports > Hunting and Shooting,1,00:02:18,4.39,48.86%
26,deltadefense.com,Sports > Hunting and Shooting,8,00:00:56,1.73,49.03%
27,gunpost.ca,Sports > Hunting and Shooting,9,00:06:53,15.15,30.79%
28,knifecenter.com,Sports > Hunting and Shooting,1,00:02:35,4.05,46.22%
29,wethepeopleholsters.com,Sports > Hunting and Shooting,1,00:02:09,3.55,54.58%
30,silencershop.com,Sports > Hunting and Shooting,3,00:04:11,4.85,32.59%
31,rkguns.com,Sports > Hunting and Shooting,15,00:04:11,4.16,43.95%
32,snipershide.com,Sports > Hunting and Shooting,7,00:02:06,2.01,58.69%
33,eurooptic.com,Sports > Hunting and Shooting,11,00:01:50,3.18,45.67%
34,gunsinternational.com,Sports > Hunting and Shooting,2,00:02:53,7.36,42.47%
35,thefirearmblog.com,Sports > Hunting and Shooting,4,00:01:33,1.83,57.2%
36,magpul.com,Sports > Hunting and Shooting,4,00:02:04,4.21,35.74%
37,rokslide.com,Sports > Hunting and Shooting,4,00:04:40,3.53,53.79%
38,glocktalk.com,Sports > Hunting and Shooting,=,00:02:55,2.94,50.12%
39,csa.co.cz,Sports > Hunting and Shooting,27,00:00:04,1.20,82.98%
40,bearcreekarsenal.com,Sports > Hunting and Shooting,2,00:03:52,4.48,40.21%
41,bladeforums.com,Sports > Hunting and Shooting,6,00:01:53,2.42,60.5%
42,shop.opticsplanet.com,Sports > Hunting and Shooting,5,00:01:09,1.51,66.64%
43,ar15discounts.com,Sports > Hunting and Shooting,4,00:02:59,4.30,42.03%
44,beretta.com,Sports > Hunting and Shooting,1,00:02:42,3.87,44.31%
45,atf.gov,Sports > Hunting and Shooting,3,00:02:13,3.06,43.7%
46,practiscore.com,Sports > Hunting and Shooting,11,00:04:04,5.46,35.19%
47,tacswap.com,Sports > Hunting and Shooting,4,00:05:27,4.47,50.2%
48,dixxon.com,Sports > Hunting and Shooting,4,00:01:29,3.86,48.69%
49,ammo.com,Sports > Hunting and Shooting,2,00:01:39,2.44,52.71%
50,olightstore.com,Sports > Hunting and Shooting,20,00:02:11,3.22,45.86%
