Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ufc.com,Sports > Martial Arts,1,00:01:45,3.05,38.8%
2,mmafighting.com,Sports > Martial Arts,2,00:01:39,2.12,44.42%
3,bloodyelbow.com,Sports > Martial Arts,2,00:01:15,1.79,57.16%
4,limetorrents.lol,Sports > Martial Arts,3,00:04:48,6.10,24.68%
5,tapology.com,Sports > Martial Arts,3,00:03:19,4.58,43.99%
6,sherdog.com,Sports > Martial Arts,3,00:04:04,3.98,33.81%
7,mmamania.com,Sports > Martial Arts,3,00:01:49,2.16,49.33%
8,smoothcomp.com,Sports > Martial Arts,4,00:04:21,6.07,40.7%
9,techfunlife.com,Sports > Martial Arts,2,00:05:16,2.33,57.76%
10,visualnewshub.com,Sports > Martial Arts,6,00:07:07,2.79,51.84%
11,ufcstats.com,Sports > Martial Arts,6,00:01:48,3.18,48.9%
12,watchwrestling.ec,Sports > Martial Arts,3,00:02:57,3.18,30.38%
13,sumo.or.jp,Sports > Martial Arts,10,00:02:41,3.84,47.86%
14,watchmmafull.com,Sports > Martial Arts,=,00:09:04,6.08,28.41%
15,ufcfightpass.com,Sports > Martial Arts,7,00:02:33,3.49,25.66%
16,fighttime.ru,Sports > Martial Arts,4,00:03:11,3.60,36.18%
17,ufcespanol.com,Sports > Martial Arts,11,00:02:20,3.21,49.06%
18,streamstv.org,Sports > Martial Arts,11,00:00:38,1.75,68.51%
19,methstreams.com,Sports > Martial Arts,13,00:00:23,1.25,75.98%
20,kaocko.cz,Sports > Martial Arts,7,00:01:41,1.87,48.83%
21,valetudo.ru,Sports > Martial Arts,=,00:03:21,2.86,37.22%
22,top-fight.cz,Sports > Martial Arts,14,00:01:04,1.92,52.32%
23,spotvnow.co.kr,Sports > Martial Arts,1,00:03:48,3.31,28.25%
24,tazztv.me,Sports > Martial Arts,=,00:02:22,3.03,41.73%
25,watchprowrestlings.org,Sports > Martial Arts,2,00:02:34,2.77,38.86%
26,mmarocks.pl,Sports > Martial Arts,3,00:02:08,2.69,25.21%
27,bjpenn.com,Sports > Martial Arts,7,00:01:09,2.17,54.07%
28,fightsite.hr,Sports > Martial Arts,2,00:01:40,2.11,43.21%
29,onefc.com,Sports > Martial Arts,2,00:01:27,2.41,54.57%
30,tvstream.live,Sports > Martial Arts,36,00:01:20,1.84,54.58%
31,sportrelate.com,Sports > Martial Arts,=,00:02:50,2.01,75.45%
32,ufc.ru,Sports > Martial Arts,7,00:01:41,2.58,49.94%
33,mma-core.com,Sports > Martial Arts,8,00:03:49,4.82,35.98%
34,kora999.com,Sports > Martial Arts,8,00:03:14,2.10,48.98%
35,bjjfanatics.com,Sports > Martial Arts,3,00:02:51,4.44,41.27%
36,venum.com,Sports > Martial Arts,3,00:02:31,6.75,31.22%
37,cloudsportek.com,Sports > Martial Arts,11,00:00:45,2.16,57.7%
38,tvdddt.online,Sports > Martial Arts,13,00:00:30,1.25,77.76%
39,ufc.com.br,Sports > Martial Arts,5,00:01:31,2.62,42.93%
40,actumma.com,Sports > Martial Arts,8,00:01:33,2.15,65.39%
41,mmashorties.cz,Sports > Martial Arts,5,00:02:39,1.64,40.06%
42,papahd.info,Sports > Martial Arts,13,00:02:01,1.44,78.65%
43,footybite.store,Sports > Martial Arts,32,00:01:13,1.37,85.4%
44,technicalgaurav.com,Sports > Martial Arts,3,00:04:31,3.15,30.36%
45,strims.top,Sports > Martial Arts,10,00:01:38,1.17,84.48%
46,spotv.net,Sports > Martial Arts,6,00:01:47,3.81,37.81%
47,karate.com,Sports > Martial Arts,4,00:01:02,1.49,60.62%
48,watch-wrestling.eu,Sports > Martial Arts,16,00:02:39,2.74,33.22%
49,vechtsportinfo.nl,Sports > Martial Arts,4,00:01:29,2.11,59.01%
50,srrb.ru,Sports > Martial Arts,2,00:02:03,2.43,40.93%
