Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,sixnationsrugby.com,Sports > Rugby,10,00:02:55,3.60,52.08%
2,blog-rct.com,Sports > Rugby,=,00:03:24,2.78,36.31%
3,planetrugby.com,Sports > Rugby,=,00:01:25,2.39,21.8%
4,ruck.co.uk,Sports > Rugby,3,00:01:14,1.90,50.51%
5,rugbypass.com,Sports > Rugby,1,00:01:10,1.96,38.06%
6,ffr.fr,Sports > Rugby,=,00:03:16,3.68,40.69%
7,rugby365.com,Sports > Rugby,2,00:01:09,2.27,25.96%
8,sarugbymag.co.za,Sports > Rugby,=,00:00:52,2.20,22.16%
9,quinzemondial.com,Sports > Rugby,=,00:00:18,1.29,24.88%
10,mvp.fan,Sports > Rugby,9,00:02:32,2.49,57.72%
11,lerugbynistere.fr,Sports > Rugby,1,00:01:08,1.84,47.14%
12,zerotackle.com,Sports > Rugby,2,00:03:34,2.54,53.71%
13,allrugby.com,Sports > Rugby,1,00:02:34,2.42,64.86%
14,dicodusport.fr,Sports > Rugby,1,00:05:13,3.33,39.34%
15,rugby-rp.com,Sports > Rugby,=,00:02:16,2.08,37.04%
16,englandrugby.com,Sports > Rugby,2,00:03:25,4.40,52.09%
17,svns.com,Sports > Rugby,=,00:03:31,3.06,38.17%
18,rugby.com.au,Sports > Rugby,1,00:02:03,2.19,50.57%
19,liverugby.fr,Sports > Rugby,3,00:02:19,1.90,62.5%
20,lnr.fr,Sports > Rugby,=,00:01:25,3.57,28.17%
21,six-nations-guide.co.uk,Sports > Rugby,1,00:01:24,1.59,62.44%
22,rugbyfederal.com,Sports > Rugby,1,00:04:01,6.11,19.28%
23,ticketpro.co.za,Sports > Rugby,=,00:02:29,3.05,40.91%
24,rugby24.net,Sports > Rugby,11,00:03:39,2.97,36.24%
25,stadetoulousain.fr,Sports > Rugby,1,00:02:29,5.32,35.93%
26,rugby-addict.com,Sports > Rugby,4,00:00:54,1.48,76.52%
27,rugby-scapulaire.com,Sports > Rugby,1,00:00:55,2.10,46.26%
28,coachweb.com,Sports > Rugby,3,00:01:36,2.05,50.95%
29,rugbynetwork.net,Sports > Rugby,3,00:05:00,4.09,30.9%
30,agendatv-rugby.com,Sports > Rugby,5,00:00:21,1.29,41.86%
31,scorenco.com,Sports > Rugby,2,00:01:22,1.98,38.16%
32,sarugby.co.za,Sports > Rugby,5,00:00:25,1.63,21.55%
33,unitedrugby.com,Sports > Rugby,10,00:00:53,2.01,53.65%
34,ubbrugby.com,Sports > Rugby,5,00:01:10,3.41,26.4%
35,info-photovoltaique.org,Sports > Rugby,7,00:00:03,1.08,94.58%
36,rugbypass.tv,Sports > Rugby,=,00:02:07,3.78,36.4%
37,allblacks.com,Sports > Rugby,3,00:00:52,1.88,45.16%
38,dailysports.fr,Sports > Rugby,3,00:00:30,1.24,76.01%
39,rugbyeurope.eu,Sports > Rugby,36,00:02:09,3.62,37.19%
40,allianzstadiumtwickenham.com,Sports > Rugby,22,00:02:00,3.92,39.1%
41,midi-olympique.fr,Sports > Rugby,3,00:01:28,2.23,57.96%
42,itsrugby.fr,Sports > Rugby,=,00:01:54,3.62,42.8%
43,forumst.net,Sports > Rugby,3,00:13:59,7.19,46.52%
44,oldschool.co.za,Sports > Rugby,10,00:02:31,2.67,67.88%
45,minutesports.fr,Sports > Rugby,5,00:01:00,1.54,65.69%
46,lourugby.fr,Sports > Rugby,1,00:04:14,4.60,19.85%
47,asm-rugby.com,Sports > Rugby,8,00:01:32,2.46,38.98%
48,statsllc.sharepoint.com,Sports > Rugby,1,00:06:08,5.69,39.42%
49,cybervulcans.net,Sports > Rugby,5,00:04:38,6.29,13.83%
50,staderochelais.com,Sports > Rugby,4,00:02:17,3.58,45.86%
