Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,fssp.gov.ru,Sports > Running,2,00:02:57,2.44,59%
2,hoka.com,Sports > Running,1,00:02:40,4.15,34.93%
3,runnersworld.com,Sports > Running,1,00:01:11,1.60,61.36%
4,runsignup.com,Sports > Running,=,00:03:02,4.13,43%
5,runrepeat.com,Sports > Running,=,00:02:36,3.03,46.66%
6,runnet.jp,Sports > Running,1,00:04:11,4.59,39.2%
7,raceroster.com,Sports > Running,1,00:01:51,2.89,69.55%
8,letsrun.com,Sports > Running,=,00:04:24,3.54,40.9%
9,samsunghealth.com,Sports > Running,1,00:01:02,1.37,77.92%
10,parkrun.org.uk,Sports > Running,1,00:03:34,4.16,42.32%
11,nyrr.org,Sports > Running,2,00:03:13,4.61,28.9%
12,raceresult.com,Sports > Running,=,00:03:05,3.39,43.08%
13,hyrox.com,Sports > Running,2,00:02:54,3.59,37.62%
14,finishers.com,Sports > Running,=,00:03:30,3.35,50.37%
15,eco-topferte.fr,Sports > Running,=,00:01:31,4.21,32.8%
16,altrarunning.com,Sports > Running,2,00:02:28,4.88,36.38%
17,onthegomap.com,Sports > Running,1,00:02:01,1.97,48.81%
18,osaka-marathon.com,Sports > Running,121,00:01:49,2.71,34.62%
19,utmb.world,Sports > Running,=,00:03:18,3.64,44.61%
20,marathonec.ru,Sports > Running,4,00:00:54,1.34,67.8%
21,marathon.tokyo,Sports > Running,55,00:03:14,2.59,47.25%
22,letsdothis.com,Sports > Running,2,00:02:49,3.27,49.01%
23,mapmyrun.com,Sports > Running,=,00:01:50,2.81,42.02%
24,parkrun.com,Sports > Running,7,00:02:12,3.04,46.05%
25,endu.net,Sports > Running,10,00:04:48,6.05,36.23%
26,runningintheusa.com,Sports > Running,4,00:03:18,4.30,34.26%
27,findarace.com,Sports > Running,2,00:02:39,3.56,36.81%
28,halhigdon.com,Sports > Running,=,00:02:16,2.22,44.65%
29,believeintherun.com,Sports > Running,8,00:01:11,1.66,66.76%
30,plotaroute.com,Sports > Running,1,00:02:22,3.15,46.55%
31,theconqueror.events,Sports > Running,20,00:01:41,4.34,50.62%
32,klikego.com,Sports > Running,5,00:04:10,5.52,30.85%
33,marathonhandbook.com,Sports > Running,4,00:01:21,1.83,47.46%
34,ultrasignup.com,Sports > Running,8,00:03:12,4.64,38.04%
35,runtrip.jp,Sports > Running,3,00:01:48,1.78,69.69%
36,tomo.run,Sports > Running,9,00:01:30,2.06,37.44%
37,runalyze.com,Sports > Running,3,00:02:53,4.80,35.67%
38,runningxpert.com,Sports > Running,5,00:01:38,2.52,35.1%
39,runnersworld.de,Sports > Running,9,00:01:51,1.90,50.38%
40,runna.com,Sports > Running,6,00:01:34,2.25,49.68%
41,moshicom.com,Sports > Running,1,00:02:52,3.01,49.99%
42,runtothefinish.com,Sports > Running,9,00:01:18,1.88,53.82%
43,njuko.com,Sports > Running,2,00:02:44,4.28,20.42%
44,parkrun.com.au,Sports > Running,6,00:02:47,3.84,47.11%
45,ahotu.com,Sports > Running,9,00:01:40,3.81,49.08%
46,russiarunning.com,Sports > Running,33,00:03:22,3.86,47.21%
47,runningmagazine.ca,Sports > Running,4,00:00:56,1.67,54.06%
48,thepowerof10.info,Sports > Running,14,00:03:34,7.70,40.86%
49,garmin.cn,Sports > Running,3,00:04:41,6.63,26.7%
50,runtastic.com,Sports > Running,9,00:00:56,2.44,54.75%
