Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,livescore.com,Sports > Soccer,=,00:06:12,4.65,42.82%
2,gazzetta.it,Sports > Soccer,=,00:07:23,3.29,44.62%
3,goal.com,Sports > Soccer,=,00:01:14,2.44,38.43%
4,kooora.com,Sports > Soccer,=,00:03:24,3.02,26.93%
5,kicker.de,Sports > Soccer,1,00:05:01,3.98,29.76%
6,premierleague.com,Sports > Soccer,1,00:06:06,4.74,40.2%
7,promiedos.com.ar,Sports > Soccer,5,00:05:10,3.53,46.44%
8,librefutbol.su,Sports > Soccer,5,00:07:07,7.45,30.65%
9,flashscore.com,Sports > Soccer,2,00:09:44,14.37,35.87%
10,transfermarkt.com.tr,Sports > Soccer,1,00:04:06,4.27,49.78%
11,transfermarkt.de,Sports > Soccer,3,00:04:44,4.78,34.47%
12,footmercato.net,Sports > Soccer,3,00:05:29,3.12,44.84%
13,leercapitulo.co,Sports > Soccer,3,00:13:09,7.04,38.76%
14,flashscore.pl,Sports > Soccer,1,00:08:14,8.79,19.98%
15,varzesh3.com,Sports > Soccer,6,00:05:49,4.31,30.26%
16,transfermarkt.com,Sports > Soccer,2,00:03:11,4.30,37.85%
17,sport.sky.it,Sports > Soccer,6,00:01:47,2.45,54.83%
18,gazzetta.gr,Sports > Soccer,2,00:05:33,3.02,25.58%
19,yallakora.com,Sports > Soccer,1,00:02:08,0.00,18.57%
20,voetbalprimeur.nl,Sports > Soccer,7,00:06:15,3.61,35.9%
21,filgoal.com,Sports > Soccer,2,00:02:07,1.97,24.84%
22,fanatik.com.tr,Sports > Soccer,=,00:04:05,5.21,37.63%
23,sport1.de,Sports > Soccer,6,00:02:33,2.57,36.76%
24,meutimao.com.br,Sports > Soccer,4,00:01:51,2.29,46.16%
25,estadiodeportivo.com,Sports > Soccer,=,00:00:42,1.77,24.08%
26,uefa.com,Sports > Soccer,18,00:02:43,3.21,47.39%
27,vi.nl,Sports > Soccer,4,00:06:31,4.95,28.86%
28,tuttomercatoweb.com,Sports > Soccer,4,00:04:40,3.46,37.63%
29,unionrayo.com,Sports > Soccer,72,00:01:17,1.58,69.42%
30,lance.com.br,Sports > Soccer,1,00:01:14,2.00,48.62%
31,mackolik.com,Sports > Soccer,4,00:08:42,6.30,34.69%
32,futbol24.com,Sports > Soccer,=,00:11:46,4.95,39.44%
33,betplay.com.co,Sports > Soccer,8,00:12:58,7.04,18.78%
34,beinsports.com.tr,Sports > Soccer,8,00:02:38,2.32,51.23%
35,meczyki.pl,Sports > Soccer,1,00:04:27,2.97,41.86%
36,calciomercato.com,Sports > Soccer,6,00:02:56,2.47,47.76%
37,avsee.ru,Sports > Soccer,1,00:10:14,20.55,11.61%
38,flashscore.es,Sports > Soccer,12,00:07:42,6.26,34.11%
39,voetbalzone.nl,Sports > Soccer,15,00:03:30,2.58,37.41%
40,livescore.in,Sports > Soccer,15,00:09:01,10.19,37.39%
41,maxifoot.fr,Sports > Soccer,2,00:04:29,3.41,35.82%
42,fr12.nl,Sports > Soccer,38,00:07:46,3.34,30.11%
43,pirlotv.fr,Sports > Soccer,28,00:01:51,3.98,41.78%
44,foot01.com,Sports > Soccer,11,00:02:41,2.14,55.13%
45,sport.de,Sports > Soccer,7,00:01:43,2.76,26.72%
46,relevo.com,Sports > Soccer,6,00:03:06,2.41,59.9%
47,milannews.it,Sports > Soccer,8,00:04:47,3.42,35.69%
48,365scores.com,Sports > Soccer,12,00:02:30,3.26,42.75%
49,netvasco.com.br,Sports > Soccer,=,00:04:14,2.01,37.17%
50,fotmob.com,Sports > Soccer,13,00:06:16,8.25,26%
