Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,espn.com,Sports > Sports - Other,=,00:08:48,3.55,43.62%
2,marca.com,Sports > Sports - Other,=,00:05:03,2.79,44.37%
3,espncricinfo.com,Sports > Sports - Other,=,00:07:06,2.86,35.47%
4,as.com,Sports > Sports - Other,=,00:05:10,2.85,47.39%
5,mundodeportivo.com,Sports > Sports - Other,=,00:03:19,2.79,51.67%
6,nikkansports.com,Sports > Sports - Other,=,00:01:50,2.45,51.68%
7,sports.yahoo.com,Sports > Sports - Other,=,00:02:51,2.12,57.79%
8,hupu.com,Sports > Sports - Other,6,00:09:41,10.07,17.24%
9,sportbox.ru,Sports > Sports - Other,1,00:03:46,3.26,29.02%
10,news.sportbox.ru,Sports > Sports - Other,2,00:03:22,3.09,41.05%
11,skysports.com,Sports > Sports - Other,2,00:03:16,2.81,38.11%
12,lequipe.fr,Sports > Sports - Other,3,00:03:56,2.91,40.56%
13,sport.es,Sports > Sports - Other,5,00:02:33,2.33,37.16%
14,sofascore.com,Sports > Sports - Other,3,00:06:42,3.72,55.25%
15,championat.com,Sports > Sports - Other,5,00:04:22,3.16,43.2%
16,sportskeeda.com,Sports > Sports - Other,3,00:01:22,2.02,55.18%
17,diretta.it,Sports > Sports - Other,4,00:12:01,9.02,32.89%
18,nhl.com,Sports > Sports - Other,6,00:03:27,3.34,40.67%
19,sports.naver.com,Sports > Sports - Other,3,00:05:14,4.27,34.17%
20,yr.no,Sports > Sports - Other,4,00:01:31,2.72,40.62%
21,cbssports.com,Sports > Sports - Other,2,00:02:58,2.26,59.72%
22,sports.ru,Sports > Sports - Other,1,00:05:45,3.78,40.65%
23,sports.yahoo.co.jp,Sports > Sports - Other,5,00:05:17,5.02,34.84%
24,ole.com.ar,Sports > Sports - Other,2,00:01:58,1.75,52.45%
25,tycsports.com,Sports > Sports - Other,2,00:01:00,1.94,33.36%
26,monopolygo.com,Sports > Sports - Other,1,00:01:31,1.71,63.98%
27,fubo.tv,Sports > Sports - Other,16,00:02:51,2.48,50.89%
28,garmin.com,Sports > Sports - Other,=,00:03:38,5.15,28.87%
29,sportingnews.com,Sports > Sports - Other,=,00:00:41,1.43,54.68%
30,espn.com.br,Sports > Sports - Other,6,00:01:28,1.62,58.58%
31,strava.com,Sports > Sports - Other,3,00:05:30,10.03,28.71%
32,dickssportinggoods.com,Sports > Sports - Other,=,00:02:43,4.00,45.87%
33,dazn.com,Sports > Sports - Other,8,00:03:24,4.29,33.09%
34,zhibo8.com,Sports > Sports - Other,8,00:06:30,6.76,33.68%
35,bolavip.com,Sports > Sports - Other,=,00:01:01,1.61,60.28%
36,sport24.ru,Sports > Sports - Other,4,00:00:57,2.36,27.8%
37,rojadirectaenvivo.pl,Sports > Sports - Other,18,00:05:11,5.25,36.77%
38,bleacherreport.com,Sports > Sports - Other,1,00:02:12,2.02,55.95%
39,247sports.com,Sports > Sports - Other,8,00:05:10,4.13,44.64%
40,abola.pt,Sports > Sports - Other,3,00:05:45,3.77,34.56%
41,sport.pl,Sports > Sports - Other,4,00:01:46,1.84,42.45%
42,nbcsports.com,Sports > Sports - Other,4,00:02:28,1.89,61.9%
43,streameast.app,Sports > Sports - Other,13,00:09:31,5.51,21.67%
44,sport.cz,Sports > Sports - Other,=,00:03:44,2.88,36.53%
45,digisport.ro,Sports > Sports - Other,13,00:03:19,3.17,29.42%
46,gsp.ro,Sports > Sports - Other,10,00:03:11,3.15,26.01%
47,rei.com,Sports > Sports - Other,1,00:03:27,4.80,40.7%
48,essentiallysports.com,Sports > Sports - Other,=,00:00:58,1.57,68.81%
49,adme.media,Sports > Sports - Other,8,00:04:15,1.68,70.46%
50,sport-express.ru,Sports > Sports - Other,1,00:03:35,2.75,33.74%
