Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,totalsportek.space,Sports > Tennis,=,00:07:08,4.78,33.05%
2,atptour.com,Sports > Tennis,1,00:02:41,3.50,35.93%
3,live-tennis.eu,Sports > Tennis,1,00:01:06,2.12,40.65%
4,wtatennis.com,Sports > Tennis,1,00:02:29,3.19,35.99%
5,ausopen.com,Sports > Tennis,3,00:01:36,2.85,50.14%
6,livetennis.it,Sports > Tennis,1,00:02:36,2.38,49.54%
7,liga.nu,Sports > Tennis,1,00:06:16,7.59,33.8%
8,thetennisgazette.com,Sports > Tennis,5,00:01:42,1.67,58.85%
9,usta.com,Sports > Tennis,6,00:06:08,8.33,29.61%
10,ubitennis.com,Sports > Tennis,2,00:01:57,1.90,43.2%
11,courtreserve.com,Sports > Tennis,=,00:04:34,5.45,26.19%
12,itftennis.com,Sports > Tennis,2,00:03:57,4.28,37.65%
13,puntodebreak.com,Sports > Tennis,4,00:02:00,2.16,47.04%
14,fitp.it,Sports > Tennis,3,00:05:34,3.84,40.12%
15,tennistv.com,Sports > Tennis,13,00:02:34,2.71,43.73%
16,news.tennis365.net,Sports > Tennis,10,00:01:35,2.01,42.02%
17,supertennis.tv,Sports > Tennis,3,00:02:17,2.29,48.81%
18,tennistemple.com,Sports > Tennis,=,00:05:42,3.74,34.47%
19,clubautomation.com,Sports > Tennis,3,00:08:04,6.80,29.26%
20,fft.fr,Sports > Tennis,3,00:04:50,6.31,31.85%
21,tennis.com,Sports > Tennis,7,00:01:23,2.02,55.5%
22,thesportsrush.com,Sports > Tennis,1,00:00:37,1.45,65.29%
23,lta.org.uk,Sports > Tennis,2,00:05:05,6.98,36.05%
24,sports.iqiyi.com,Sports > Tennis,2,00:02:50,2.21,52.46%
25,onetag-sys.com,Sports > Tennis,1,00:30:49,4.38,35.73%
26,tennis.com.au,Sports > Tennis,1,00:03:49,7.63,29.06%
27,lan.jp,Sports > Tennis,3,00:05:20,7.37,19.89%
28,nesty-gcloud.net,Sports > Tennis,4,00:04:26,8.10,19.99%
29,tennis365.com,Sports > Tennis,6,00:00:52,1.50,54.4%
30,tennisoff.net,Sports > Tennis,4,00:04:47,7.08,27.47%
31,utrsports.net,Sports > Tennis,5,00:04:14,5.80,35.13%
32,flashscoreusa.com,Sports > Tennis,3,00:06:15,8.16,33.88%
33,dartsrankings.com,Sports > Tennis,14,00:02:19,2.81,38.63%
34,tenisbrasil.uol.com.br,Sports > Tennis,3,00:01:07,2.74,18.63%
35,tenisnews.com.br,Sports > Tennis,2,00:01:19,1.85,26.66%
36,forextuner.info,Sports > Tennis,1,00:02:32,5.98,6.49%
37,padelfip.com,Sports > Tennis,36,00:02:47,3.50,27.4%
38,tennisexplorer.com,Sports > Tennis,=,00:05:54,9.07,30.34%
39,rolandgarros.com,Sports > Tennis,9,00:02:47,6.41,34.9%
40,tennistonic.com,Sports > Tennis,=,00:02:06,2.95,48.72%
41,pressenterprise.com,Sports > Tennis,10,00:02:17,2.95,41.21%
42,tennis.de,Sports > Tennis,1,00:06:02,4.81,34.3%
43,tennisworlditalia.com,Sports > Tennis,1,00:00:59,2.40,54.44%
44,bolamarela.com.br,Sports > Tennis,5,00:00:31,1.46,29.23%
45,tennischannel.com,Sports > Tennis,33,00:06:20,4.27,26.07%
46,wimbledon.com,Sports > Tennis,12,00:02:27,3.34,42.07%
47,daviscup.com,Sports > Tennis,30,00:01:37,4.29,33.54%
48,jokersportshd.org,Sports > Tennis,1,00:07:47,3.89,36.34%
49,world-tt.com,Sports > Tennis,5,00:02:04,2.32,46.64%
50,clubspark.uk,Sports > Tennis,9,00:01:05,2.04,33.51%
