Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,surfline.com,Sports > Water Sports,=,00:02:59,3.77,36.4%
2,surf-forecast.com,Sports > Water Sports,=,00:01:20,2.22,53.6%
3,gomotionapp.com,Sports > Water Sports,1,00:03:28,4.03,34.66%
4,swimswam.com,Sports > Water Sports,3,00:03:06,3.10,51.72%
5,seabreeze.com.au,Sports > Water Sports,2,00:09:15,2.79,51.33%
6,worldsurfleague.com,Sports > Water Sports,11,00:04:03,3.89,43.08%
7,surfer.com,Sports > Water Sports,2,00:01:13,1.78,45.73%
8,swellnet.com,Sports > Water Sports,2,00:03:09,2.87,40.41%
9,bauermedia.pt,Sports > Water Sports,1,00:02:21,1.54,70.31%
10,concept2.com,Sports > Water Sports,1,00:02:20,3.88,40.12%
11,viewsurf.com,Sports > Water Sports,1,00:02:53,2.77,48.06%
12,scubaboard.com,Sports > Water Sports,=,00:02:13,2.51,50.98%
13,surfguru.com.br,Sports > Water Sports,2,00:01:25,1.64,51.99%
14,theinertia.com,Sports > Water Sports,=,00:01:16,2.17,54.51%
15,namidensetsu.com,Sports > Water Sports,2,00:04:08,3.56,25.47%
16,teamunify.com,Sports > Water Sports,=,00:01:27,1.61,67.91%
17,revolutionise.com.au,Sports > Water Sports,5,00:03:37,6.03,33.79%
18,tidetime.org,Sports > Water Sports,=,00:01:17,2.11,55.55%
19,vedetta.org,Sports > Water Sports,4,00:02:37,2.46,58.12%
20,federnuoto.it,Sports > Water Sports,7,00:04:37,3.92,39.67%
21,bc01.com,Sports > Water Sports,5,00:01:56,8.88,16.25%
22,swim.or.jp,Sports > Water Sports,8,00:03:53,3.55,44.46%
23,waves.com.br,Sports > Water Sports,10,00:03:24,2.46,34.09%
24,surfchex.com,Sports > Water Sports,4,00:02:14,2.60,44.55%
25,usaswimming.org,Sports > Water Sports,1,00:02:55,6.59,36.76%
26,beachgrit.com,Sports > Water Sports,2,00:01:14,1.79,59.15%
27,swellmap.com,Sports > Water Sports,8,00:01:06,2.76,64.22%
28,surfertoday.com,Sports > Water Sports,6,00:00:40,1.51,58.32%
29,gong-galaxy.com,Sports > Water Sports,8,00:03:16,5.97,29.45%
30,w-esf.com,Sports > Water Sports,9,00:05:20,12.28,43.44%
31,urbnsurf.com,Sports > Water Sports,6,00:11:27,4.47,31.11%
32,ronspo.com,Sports > Water Sports,3,00:01:30,1.85,58.59%
33,gosurf.fr,Sports > Water Sports,1,00:02:45,2.21,52.88%
34,worldaquatics.com,Sports > Water Sports,13,00:01:09,2.79,42.39%
35,usms.org,Sports > Water Sports,5,00:03:19,4.75,43.84%
36,seiko.co.jp,Sports > Water Sports,7,00:01:17,1.98,48.54%
37,liveffn.com,Sports > Water Sports,24,00:08:08,7.78,27.61%
38,roark.com,Sports > Water Sports,7,00:02:14,6.51,38.67%
39,swimrankings.net,Sports > Water Sports,1,00:09:25,11.47,29.51%
40,sail-world.com,Sports > Water Sports,5,00:00:52,1.60,54.28%
41,eurovisionsport.com,Sports > Water Sports,10,00:01:50,3.68,36.81%
42,swimming.org.au,Sports > Water Sports,45,00:03:05,4.43,34.66%
43,booksurfcamps.com,Sports > Water Sports,8,00:01:54,3.30,50.72%
44,liveheats.com,Sports > Water Sports,8,00:04:25,6.94,31.06%
45,olympedia.org,Sports > Water Sports,3,00:02:05,3.04,47.91%
46,swimmingworldmagazine.com,Sports > Water Sports,4,00:00:45,2.03,52.61%
47,magicseaweed.com,Sports > Water Sports,24,00:00:31,1.11,89.62%
48,surftotal.com,Sports > Water Sports,6,00:02:30,2.09,33.21%
49,camaramar.com,Sports > Water Sports,3,00:03:39,3.33,29.3%
50,flocollege.com,Sports > Water Sports,152,00:02:35,3.66,31.53%
