Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,hockeydb.com,Sports > Winter Sports,=,00:04:08,5.24,47.28%
2,fis-ski.com,Sports > Winter Sports,=,00:03:58,5.93,28.92%
3,hockeycanada.ca,Sports > Winter Sports,10,00:01:39,2.29,50.51%
4,skijumping.pl,Sports > Winter Sports,1,00:02:34,3.29,30.4%
5,onthesnow.com,Sports > Winter Sports,1,00:01:32,2.09,56.95%
6,nordicmag.info,Sports > Winter Sports,9,00:02:07,1.26,47.08%
7,roundshot.com,Sports > Winter Sports,2,00:01:11,2.29,38.89%
8,wintersport.nl,Sports > Winter Sports,4,00:03:12,3.85,38.22%
9,infonieve.es,Sports > Winter Sports,2,00:02:26,3.99,40.02%
10,curated.com,Sports > Winter Sports,2,00:02:59,5.51,55.11%
11,ikonpass.com,Sports > Winter Sports,1,00:03:02,4.24,40.62%
12,opensnow.com,Sports > Winter Sports,8,00:22:09,5.29,44.64%
13,skipass.com,Sports > Winter Sports,4,00:01:35,1.67,54.4%
14,vhlru.ru,Sports > Winter Sports,7,00:04:30,3.15,58.74%
15,skaping.com,Sports > Winter Sports,1,00:02:12,2.58,45.26%
16,unofficialnetworks.com,Sports > Winter Sports,2,00:01:05,1.71,49.58%
17,skiresort.info,Sports > Winter Sports,6,00:01:37,2.79,51.12%
18,japan-curling.yokohama,Sports > Winter Sports,=,00:02:51,2.52,42.48%
19,bergfex.si,Sports > Winter Sports,=,00:02:05,2.55,56.18%
20,skistar.com,Sports > Winter Sports,4,00:04:27,5.77,40.16%
21,epicpass.com,Sports > Winter Sports,9,00:02:14,3.34,41.32%
22,dovesciare.it,Sports > Winter Sports,=,00:01:30,1.99,62.02%
23,biathlon.com.ua,Sports > Winter Sports,=,00:03:42,3.87,48.2%
24,bigbearmountainresort.com,Sports > Winter Sports,2,00:02:58,3.36,41.09%
25,mammothmountain.com,Sports > Winter Sports,10,00:03:14,3.42,34.84%
26,whistlerblackcomb.com,Sports > Winter Sports,5,00:02:13,2.46,49.09%
27,seatgeek.ca,Sports > Winter Sports,35,00:03:10,3.93,36.85%
28,sneeuwhoogte.nl,Sports > Winter Sports,3,00:02:08,3.90,27.76%
29,neveitalia.it,Sports > Winter Sports,12,00:00:44,1.84,67.4%
30,skimag.com,Sports > Winter Sports,=,00:00:53,1.54,61.33%
31,rossignol.com,Sports > Winter Sports,4,00:02:35,3.89,46.52%
32,curling.ca,Sports > Winter Sports,228,00:03:18,3.87,38.54%
33,crystalski.co.uk,Sports > Winter Sports,5,00:05:45,5.50,35.64%
34,nevasport.com,Sports > Winter Sports,1,00:01:17,1.85,67.55%
35,newschoolers.com,Sports > Winter Sports,5,00:01:32,2.48,57.41%
36,ski.ru,Sports > Winter Sports,22,00:02:54,3.42,51.15%
37,n-py.com,Sports > Winter Sports,14,00:04:15,3.58,52.74%
38,snowbird.com,Sports > Winter Sports,14,00:03:21,3.41,31.94%
39,crystalmountainresort.com,Sports > Winter Sports,=,00:02:54,3.48,41.68%
40,bigwhite.com,Sports > Winter Sports,20,00:03:35,3.04,50.05%
41,palisadestahoe.com,Sports > Winter Sports,5,00:03:33,3.97,37.81%
42,alterramtnco.com,Sports > Winter Sports,4,00:03:24,2.46,56.97%
43,vailresorts.com,Sports > Winter Sports,9,00:03:16,3.47,43.46%
44,atomic.com,Sports > Winter Sports,7,00:02:10,4.60,29.52%
45,winterparkresort.com,Sports > Winter Sports,3,00:02:19,3.14,41.01%
46,vasaloppet.se,Sports > Winter Sports,370,00:04:48,4.76,49.14%
47,montecwear.com,Sports > Winter Sports,18,00:02:52,7.99,41.12%
48,uscho.com,Sports > Winter Sports,29,00:03:00,3.23,48.17%
49,skitalk.com,Sports > Winter Sports,8,00:02:34,2.15,56.59%
50,skisport.ru,Sports > Winter Sports,5,00:02:34,3.49,44.75%
