Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,booking.com,Travel and Tourism > Accommodation and Hotels,=,00:08:07,8.41,33.35%
2,airbnb.com,Travel and Tourism > Accommodation and Hotels,=,00:07:06,16.85,31.99%
3,agoda.com,Travel and Tourism > Accommodation and Hotels,=,00:05:49,6.57,29.34%
4,expedia.com,Travel and Tourism > Accommodation and Hotels,=,00:06:02,7.79,35.5%
5,marriott.com,Travel and Tourism > Accommodation and Hotels,=,00:03:59,5.09,42.63%
6,hilton.com,Travel and Tourism > Accommodation and Hotels,1,00:04:12,4.54,37.08%
7,vrbo.com,Travel and Tourism > Accommodation and Hotels,1,00:06:07,11.30,36.8%
8,hotels.com,Travel and Tourism > Accommodation and Hotels,=,00:04:54,6.75,36.59%
9,airbnb.com.br,Travel and Tourism > Accommodation and Hotels,=,00:06:45,11.63,29.97%
10,ihg.com,Travel and Tourism > Accommodation and Hotels,1,00:03:05,4.61,36.59%
11,airbnb.co.uk,Travel and Tourism > Accommodation and Hotels,1,00:06:27,14.67,24.5%
12,airbnb.fr,Travel and Tourism > Accommodation and Hotels,=,00:07:22,16.45,26.01%
13,hyatt.com,Travel and Tourism > Accommodation and Hotels,=,00:03:55,4.88,35.57%
14,accor.com,Travel and Tourism > Accommodation and Hotels,=,00:03:33,4.35,38.51%
15,expedia.ca,Travel and Tourism > Accommodation and Hotels,1,00:06:33,9.43,30.28%
16,airbnb.ca,Travel and Tourism > Accommodation and Hotels,2,00:06:38,17.09,28.01%
17,ostrovok.ru,Travel and Tourism > Accommodation and Hotels,=,00:03:34,7.10,25.29%
18,clock-software.com,Travel and Tourism > Accommodation and Hotels,16,00:10:07,9.27,37.33%
19,wyndhamhotels.com,Travel and Tourism > Accommodation and Hotels,3,00:03:03,3.82,48.65%
20,expediapartnercentral.com,Travel and Tourism > Accommodation and Hotels,=,00:06:45,5.61,28.66%
21,cloudbeds.com,Travel and Tourism > Accommodation and Hotels,=,00:21:57,12.75,24.69%
22,choicehotels.com,Travel and Tourism > Accommodation and Hotels,3,00:03:19,3.90,43.93%
23,airbnb.de,Travel and Tourism > Accommodation and Hotels,=,00:07:13,15.25,28.64%
24,guestreservations.com,Travel and Tourism > Accommodation and Hotels,4,00:01:30,2.97,28.62%
25,airbnb.es,Travel and Tourism > Accommodation and Hotels,4,00:05:38,12.26,22.07%
26,mytour.vn,Travel and Tourism > Accommodation and Hotels,1,00:02:01,1.59,74.88%
27,airbnb.com.au,Travel and Tourism > Accommodation and Hotels,8,00:06:54,15.38,28.84%
28,premierinn.com,Travel and Tourism > Accommodation and Hotels,2,00:04:36,4.12,38.44%
29,choiceadvantage.com,Travel and Tourism > Accommodation and Hotels,3,00:44:19,36.07,33.23%
30,sutochno.ru,Travel and Tourism > Accommodation and Hotels,3,00:06:01,8.04,41.91%
31,airbnb.it,Travel and Tourism > Accommodation and Hotels,5,00:06:52,15.26,22.79%
32,caesars.com,Travel and Tourism > Accommodation and Hotels,1,00:04:29,4.73,38.71%
33,expedia.co.uk,Travel and Tourism > Accommodation and Hotels,1,00:04:34,6.76,32.76%
34,mgmresorts.com,Travel and Tourism > Accommodation and Hotels,1,00:04:36,5.31,42.88%
35,hostelworld.com,Travel and Tourism > Accommodation and Hotels,5,00:04:51,5.94,31.62%
36,costcotravel.com,Travel and Tourism > Accommodation and Hotels,1,00:07:26,8.14,23.77%
37,airbnb.mx,Travel and Tourism > Accommodation and Hotels,1,00:07:07,13.48,31.09%
38,489ban.net,Travel and Tourism > Accommodation and Hotels,1,00:04:32,4.96,34.17%
39,apahotel.com,Travel and Tourism > Accommodation and Hotels,3,00:04:47,4.64,41.22%
40,toyoko-inn.com,Travel and Tourism > Accommodation and Hotels,8,00:05:59,6.98,31.44%
41,trivago.com,Travel and Tourism > Accommodation and Hotels,6,00:02:59,3.36,48.61%
42,travelodge.co.uk,Travel and Tourism > Accommodation and Hotels,3,00:04:25,3.86,38%
43,fourseasons.com,Travel and Tourism > Accommodation and Hotels,7,00:01:57,3.61,37.42%
44,hoteis.com,Travel and Tourism > Accommodation and Hotels,3,00:03:42,4.26,32.29%
45,expedia.co.jp,Travel and Tourism > Accommodation and Hotels,6,00:05:19,5.98,38.59%
46,pprincess.com,Travel and Tourism > Accommodation and Hotels,31,00:02:47,2.39,37.96%
47,airbnb.co.in,Travel and Tourism > Accommodation and Hotels,4,00:05:28,12.05,27.45%
48,radissonhotels.com,Travel and Tourism > Accommodation and Hotels,10,00:02:23,5.12,40.2%
49,airbnb.nl,Travel and Tourism > Accommodation and Hotels,=,00:06:28,17.86,26.08%
50,fewo-direkt.de,Travel and Tourism > Accommodation and Hotels,6,00:06:48,8.00,38.55%
