Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,ryanair.com,Travel and Tourism > Air Travel,=,00:05:31,6.63,25.74%
2,aa.com,Travel and Tourism > Air Travel,=,00:06:38,6.70,30.72%
3,southwest.com,Travel and Tourism > Air Travel,1,00:05:18,6.09,32.66%
4,delta.com,Travel and Tourism > Air Travel,1,00:06:13,6.52,30.69%
5,flightaware.com,Travel and Tourism > Air Travel,1,00:07:02,3.57,49.18%
6,skyscanner.net,Travel and Tourism > Air Travel,2,00:04:35,6.03,36.63%
7,united.com,Travel and Tourism > Air Travel,=,00:06:11,6.47,29.83%
8,latamairlines.com,Travel and Tourism > Air Travel,5,00:03:18,3.70,43.75%
9,traveloka.com,Travel and Tourism > Air Travel,=,00:02:07,3.57,37.96%
10,ana.co.jp,Travel and Tourism > Air Travel,=,00:05:51,6.71,33.73%
11,jal.co.jp,Travel and Tourism > Air Travel,=,00:05:21,7.48,31.22%
12,easyjet.com,Travel and Tourism > Air Travel,=,00:06:08,5.59,33.48%
13,aircanada.com,Travel and Tourism > Air Travel,=,00:07:53,8.34,25.93%
14,aviasales.ru,Travel and Tourism > Air Travel,1,00:04:15,4.92,34.29%
15,goindigo.in,Travel and Tourism > Air Travel,2,00:06:46,5.37,32.01%
16,wizzair.com,Travel and Tourism > Air Travel,=,00:05:57,5.36,31.36%
17,skyscanner.co.in,Travel and Tourism > Air Travel,4,00:03:20,5.01,19.98%
18,britishairways.com,Travel and Tourism > Air Travel,4,00:06:07,8.91,26.5%
19,turkishairlines.com,Travel and Tourism > Air Travel,3,00:05:02,4.71,31.48%
20,alaskaair.com,Travel and Tourism > Air Travel,3,00:07:11,6.23,31.66%
21,emirates.com,Travel and Tourism > Air Travel,3,00:05:44,5.91,30.71%
22,skyscanner.com,Travel and Tourism > Air Travel,2,00:05:27,5.40,34.46%
23,jetstar.com,Travel and Tourism > Air Travel,4,00:05:51,6.99,29.02%
24,qantas.com,Travel and Tourism > Air Travel,=,00:05:39,7.27,30.7%
25,jetblue.com,Travel and Tourism > Air Travel,=,00:05:46,5.92,33.01%
26,skyscanner.it,Travel and Tourism > Air Travel,1,00:05:13,6.66,20.81%
27,qatarairways.com,Travel and Tourism > Air Travel,1,00:05:16,5.90,37.53%
28,spirit.com,Travel and Tourism > Air Travel,1,00:06:30,4.93,35.12%
29,flyfrontier.com,Travel and Tourism > Air Travel,1,00:05:47,5.39,30.93%
30,airasia.com,Travel and Tourism > Air Travel,4,00:05:58,7.05,29.43%
31,lufthansa.com,Travel and Tourism > Air Travel,1,00:05:11,5.78,26.09%
32,iberia.com,Travel and Tourism > Air Travel,=,00:05:01,5.57,36.11%
33,flypgs.com,Travel and Tourism > Air Travel,5,00:05:03,4.39,33.65%
34,jetsmart.com,Travel and Tourism > Air Travel,3,00:04:38,5.65,37.5%
35,volaris.com,Travel and Tourism > Air Travel,5,00:05:31,4.40,37.18%
36,singaporeair.com,Travel and Tourism > Air Travel,6,00:05:48,6.76,36.23%
37,vivaaerobus.com,Travel and Tourism > Air Travel,2,00:05:50,4.74,39.5%
38,aeroflot.ru,Travel and Tourism > Air Travel,2,00:04:51,6.43,25.61%
39,cathaypacific.com,Travel and Tourism > Air Travel,4,00:05:57,7.10,32.1%
40,skyscanner.es,Travel and Tourism > Air Travel,1,00:04:56,6.26,22.05%
41,aeroin.net,Travel and Tourism > Air Travel,8,00:00:22,1.39,24.04%
42,voeazul.com.br,Travel and Tourism > Air Travel,5,00:05:49,4.19,32.9%
43,airindia.com,Travel and Tourism > Air Travel,3,00:03:37,6.32,34.96%
44,vueling.com,Travel and Tourism > Air Travel,1,00:04:39,5.64,24.71%
45,voegol.com.br,Travel and Tourism > Air Travel,6,00:06:07,5.11,31.15%
46,amadeus.com,Travel and Tourism > Air Travel,9,00:08:39,5.27,24.42%
47,avianca.com,Travel and Tourism > Air Travel,14,00:05:34,5.23,32.2%
48,skyscanner.de,Travel and Tourism > Air Travel,1,00:06:13,6.92,30.22%
49,koreanair.com,Travel and Tourism > Air Travel,2,00:05:50,7.54,25.13%
50,skyscanner.com.br,Travel and Tourism > Air Travel,6,00:05:08,4.50,32.88%
