Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,enterprise.com,Travel and Tourism > Car Rentals,=,00:04:14,4.07,39.57%
2,localiza.com,Travel and Tourism > Car Rentals,=,00:05:28,5.46,35.68%
3,hertz.com,Travel and Tourism > Car Rentals,1,00:04:46,6.82,33.9%
4,turo.com,Travel and Tourism > Car Rentals,1,00:05:18,6.62,36.93%
5,timescar.jp,Travel and Tourism > Car Rentals,=,00:05:11,6.58,29.62%
6,cars.booking.com,Travel and Tourism > Car Rentals,=,00:04:21,3.98,30.93%
7,jeinzmacias.ai,Travel and Tourism > Car Rentals,=,00:03:19,2.56,37.78%
8,avis.com,Travel and Tourism > Car Rentals,1,00:04:31,4.38,38.91%
9,rentalcars.com,Travel and Tourism > Car Rentals,1,00:03:40,3.94,33.87%
10,budget.com,Travel and Tourism > Car Rentals,1,00:04:29,4.35,37.47%
11,sixt.com,Travel and Tourism > Car Rentals,1,00:02:56,4.65,36%
12,timesclub.jp,Travel and Tourism > Car Rentals,1,00:01:53,2.15,66.23%
13,discovercars.com,Travel and Tourism > Car Rentals,1,00:03:49,4.54,35.97%
14,nationalcar.com,Travel and Tourism > Car Rentals,=,00:04:45,4.02,38.13%
15,unidas.com.br,Travel and Tourism > Car Rentals,2,00:04:39,3.73,42.17%
16,movida.com.br,Travel and Tourism > Car Rentals,=,00:04:35,4.14,34.16%
17,nipponrentacar.co.jp,Travel and Tourism > Car Rentals,1,00:05:17,6.89,31.46%
18,alamo.com,Travel and Tourism > Car Rentals,1,00:04:50,3.93,34.16%
19,economybookings.com,Travel and Tourism > Car Rentals,1,00:03:07,4.05,32.27%
20,rentcars.com,Travel and Tourism > Car Rentals,5,00:03:34,4.17,32.16%
21,rvshare.com,Travel and Tourism > Car Rentals,5,00:02:52,4.11,53.81%
22,blablacar.es,Travel and Tourism > Car Rentals,=,00:05:07,5.72,29.18%
23,sixt.de,Travel and Tourism > Car Rentals,=,00:02:53,4.94,28.7%
24,sennheiser-hearing.com,Travel and Tourism > Car Rentals,5,00:02:25,2.46,52.54%
25,enterprise.co.uk,Travel and Tourism > Car Rentals,1,00:04:28,3.95,35.07%
26,europcar.com,Travel and Tourism > Car Rentals,1,00:02:33,3.34,36.83%
27,blablacar.in,Travel and Tourism > Car Rentals,1,00:04:21,6.72,25.89%
28,getaround.com,Travel and Tourism > Car Rentals,2,00:04:49,5.84,47.34%
29,blablacar.com,Travel and Tourism > Car Rentals,8,00:00:50,2.05,56.27%
30,outdoorsy.com,Travel and Tourism > Car Rentals,3,00:04:00,11.69,39.51%
31,enterprise.ca,Travel and Tourism > Car Rentals,=,00:04:28,4.22,34.05%
32,dollar.com,Travel and Tourism > Car Rentals,3,00:02:30,3.59,33.51%
33,thrifty.com,Travel and Tourism > Car Rentals,=,00:02:59,4.12,36.31%
34,roadsurfer.com,Travel and Tourism > Car Rentals,2,00:02:00,3.32,37.36%
35,orix.co.jp,Travel and Tourism > Car Rentals,3,00:03:54,5.43,37.24%
36,zipcar.com,Travel and Tourism > Car Rentals,1,00:02:44,3.94,30.27%
37,sixt.fr,Travel and Tourism > Car Rentals,=,00:02:28,3.95,32.37%
38,savaari.com,Travel and Tourism > Car Rentals,2,00:01:49,2.79,31.28%
39,billiger-mietwagen.de,Travel and Tourism > Car Rentals,5,00:03:59,4.95,29.17%
40,autorentals.com,Travel and Tourism > Car Rentals,1,00:02:04,2.15,51.88%
41,blablacar.pl,Travel and Tourism > Car Rentals,1,00:03:17,6.00,17.62%
42,cabbazar.com,Travel and Tourism > Car Rentals,1,00:01:25,3.36,14.42%
43,carjet.com,Travel and Tourism > Car Rentals,3,00:03:46,5.17,34.6%
44,doyouspain.com,Travel and Tourism > Car Rentals,3,00:03:55,5.14,33.27%
45,vipcars.com,Travel and Tourism > Car Rentals,2,00:02:01,2.39,52.31%
46,yalla-live.in,Travel and Tourism > Car Rentals,68,00:01:24,1.61,60.28%
47,europcar.de,Travel and Tourism > Car Rentals,2,00:02:42,3.80,30.92%
48,sixt.co.uk,Travel and Tourism > Car Rentals,5,00:02:19,4.36,35.19%
49,qrcarta.com,Travel and Tourism > Car Rentals,8,00:03:35,2.35,41.45%
50,cicar.com,Travel and Tourism > Car Rentals,2,00:03:39,4.46,26.69%
