Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,uber.com,Travel and Tourism > Ground Transportation,=,00:02:17,3.44,48.55%
2,indianrail.gov.in,Travel and Tourism > Ground Transportation,=,00:04:31,4.52,43.79%
3,bahn.de,Travel and Tourism > Ground Transportation,=,00:05:01,5.21,27.65%
4,thetrainline.com,Travel and Tourism > Ground Transportation,=,00:04:08,5.41,34.88%
5,ayotu.net,Travel and Tourism > Ground Transportation,57,00:21:35,7.23,28.47%
6,rzd.ru,Travel and Tourism > Ground Transportation,1,00:07:19,7.32,30.27%
7,westjr.co.jp,Travel and Tourism > Ground Transportation,2,00:03:07,3.38,47.11%
8,railyatri.in,Travel and Tourism > Ground Transportation,2,00:05:15,2.90,43.68%
9,confirmtkt.com,Travel and Tourism > Ground Transportation,2,00:04:41,3.47,38.75%
10,lyft.com,Travel and Tourism > Ground Transportation,2,00:02:33,2.81,53.61%
11,99app.com,Travel and Tourism > Ground Transportation,=,00:01:51,2.27,52.66%
12,nationalrail.co.uk,Travel and Tourism > Ground Transportation,2,00:04:43,3.59,34.19%
13,indiarailinfo.com,Travel and Tourism > Ground Transportation,1,00:03:24,3.52,59.37%
14,bustimes.org,Travel and Tourism > Ground Transportation,=,00:07:14,12.44,39.51%
15,belgiantrain.be,Travel and Tourism > Ground Transportation,5,00:03:13,4.34,33.77%
16,indrive.com,Travel and Tourism > Ground Transportation,3,00:01:41,1.88,70.47%
17,abhibus.com,Travel and Tourism > Ground Transportation,1,00:04:19,3.42,35.58%
18,trainman.in,Travel and Tourism > Ground Transportation,1,00:03:58,2.42,52.04%
19,erail.in,Travel and Tourism > Ground Transportation,=,00:06:42,7.83,22.25%
20,recorrido.cl,Travel and Tourism > Ground Transportation,1,00:04:26,4.23,32.93%
21,thsrc.com.tw,Travel and Tourism > Ground Transportation,3,00:04:10,4.53,40.15%
22,etrain.info,Travel and Tourism > Ground Transportation,7,00:07:42,6.78,32.48%
23,delhimetrorail.info,Travel and Tourism > Ground Transportation,1,00:02:11,2.36,28.28%
24,oebb.at,Travel and Tourism > Ground Transportation,1,00:03:09,4.39,35.43%
25,zdopravy.cz,Travel and Tourism > Ground Transportation,2,00:02:57,2.69,43.33%
26,koleo.pl,Travel and Tourism > Ground Transportation,2,00:03:43,3.71,30.1%
27,olacabs.com,Travel and Tourism > Ground Transportation,1,00:04:10,3.80,45.01%
28,vr.fi,Travel and Tourism > Ground Transportation,1,00:04:33,4.84,39.06%
29,poizdato.net,Travel and Tourism > Ground Transportation,2,00:02:54,2.58,43.82%
30,delhimetrorail.com,Travel and Tourism > Ground Transportation,=,00:01:36,2.44,24.91%
31,realtimetrains.co.uk,Travel and Tourism > Ground Transportation,1,00:09:52,11.00,23.42%
32,buser.com.br,Travel and Tourism > Ground Transportation,6,00:02:53,3.34,38.14%
33,rzd-bonus.ru,Travel and Tourism > Ground Transportation,3,00:03:36,5.30,21.61%
34,ttc.ca,Travel and Tourism > Ground Transportation,10,00:02:44,2.81,43.05%
35,flixbus.fr,Travel and Tourism > Ground Transportation,3,00:04:15,4.39,30.35%
36,railforums.co.uk,Travel and Tourism > Ground Transportation,1,00:06:40,7.82,35.45%
37,oebbtickets.at,Travel and Tourism > Ground Transportation,2,00:04:59,5.33,35.78%
38,stagecoachbus.com,Travel and Tourism > Ground Transportation,7,00:03:07,2.96,46.53%
39,turbus.cl,Travel and Tourism > Ground Transportation,6,00:05:21,4.32,26.18%
40,shop.oebbtickets.at,Travel and Tourism > Ground Transportation,1,00:05:12,5.39,36.95%
41,tripjack.com,Travel and Tourism > Ground Transportation,4,00:07:35,8.32,15.79%
42,bycs.de,Travel and Tourism > Ground Transportation,4,00:05:25,9.76,24.06%
43,blablacar.ru,Travel and Tourism > Ground Transportation,9,00:06:11,5.11,36.27%
44,shop.flixbus.de,Travel and Tourism > Ground Transportation,5,00:04:31,3.88,44.75%
45,osakametro.co.jp,Travel and Tourism > Ground Transportation,8,00:02:34,3.35,48.29%
46,viaggiatreno.it,Travel and Tourism > Ground Transportation,3,00:08:55,6.49,27.34%
47,trains.com,Travel and Tourism > Ground Transportation,5,00:01:40,2.55,46.58%
48,flixbus.cl,Travel and Tourism > Ground Transportation,19,00:04:22,4.46,31.82%
49,rfi.it,Travel and Tourism > Ground Transportation,4,00:03:06,5.03,38.9%
50,shop.flixbus.fr,Travel and Tourism > Ground Transportation,1,00:04:11,3.96,40.85%
