Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,getyourguide.com,Travel and Tourism > Tourist Attractions,1,00:02:41,3.27,44.61%
2,klook.com,Travel and Tourism > Tourist Attractions,1,00:03:39,3.96,48.97%
3,viator.com,Travel and Tourism > Tourist Attractions,=,00:03:13,3.21,47.29%
4,kkday.com,Travel and Tourism > Tourist Attractions,=,00:02:54,2.30,50.71%
5,universalorlando.com,Travel and Tourism > Tourist Attractions,=,00:02:45,3.69,36.43%
6,usj.co.jp,Travel and Tourism > Tourist Attractions,=,00:05:51,4.56,40.02%
7,castel.jp,Travel and Tourism > Tourist Attractions,1,00:02:43,1.66,68.77%
8,disneylandparis.com,Travel and Tourism > Tourist Attractions,1,00:04:17,4.22,36.94%
9,atmy.me,Travel and Tourism > Tourist Attractions,=,00:02:03,1.74,63.09%
10,sixflags.com,Travel and Tourism > Tourist Attractions,=,00:02:58,3.45,39.06%
11,tech.udn.com,Travel and Tourism > Tourist Attractions,1,00:00:51,1.33,81.87%
12,allears.net,Travel and Tourism > Tourist Attractions,1,00:01:09,1.71,50.72%
13,disboards.com,Travel and Tourism > Tourist Attractions,2,00:03:41,4.36,39.12%
14,seaworld.com,Travel and Tourism > Tourist Attractions,=,00:03:44,4.22,45.26%
15,wdwnt.com,Travel and Tourism > Tourist Attractions,1,00:01:08,1.58,73.89%
16,digitickets.co.uk,Travel and Tourism > Tourist Attractions,1,00:03:54,4.44,41.9%
17,buschgardens.com,Travel and Tourism > Tourist Attractions,4,00:03:17,3.94,46.28%
18,bobbyworld.tw,Travel and Tourism > Tourist Attractions,3,00:02:53,1.67,70.47%
19,memberdeals.com,Travel and Tourism > Tourist Attractions,1,00:04:15,4.77,36.56%
20,efteling.com,Travel and Tourism > Tourist Attractions,=,00:02:44,3.91,41.6%
21,viviantravel.tw,Travel and Tourism > Tourist Attractions,2,00:01:10,1.33,74.91%
22,wdwmagic.com,Travel and Tourism > Tourist Attractions,8,00:04:23,4.16,40.66%
23,hongkongdisneyland.com,Travel and Tourism > Tourist Attractions,1,00:02:23,5.31,39.38%
24,legoland.com,Travel and Tourism > Tourist Attractions,2,00:02:59,3.27,45.73%
25,disneynow.com,Travel and Tourism > Tourist Attractions,6,00:03:43,4.87,37.65%
26,vasttrafik.se,Travel and Tourism > Tourist Attractions,3,00:02:22,1.98,57.95%
27,europapark.de,Travel and Tourism > Tourist Attractions,3,00:03:19,3.49,46.25%
28,lotteworld.com,Travel and Tourism > Tourist Attractions,5,00:03:01,5.35,32.38%
29,webket.jp,Travel and Tourism > Tourist Attractions,2,00:04:12,3.62,50.05%
30,wonderla.com,Travel and Tourism > Tourist Attractions,14,00:01:04,2.63,22.09%
31,beurlife.com,Travel and Tourism > Tourist Attractions,6,00:01:46,1.66,39.76%
32,universalparks.com,Travel and Tourism > Tourist Attractions,7,00:01:47,4.29,46.6%
33,summitatsnoqualmie.com,Travel and Tourism > Tourist Attractions,4,00:03:05,4.56,38.86%
34,futuroscope.com,Travel and Tourism > Tourist Attractions,27,00:04:09,4.41,32.06%
35,sydneyoperahouse.com,Travel and Tourism > Tourist Attractions,1,00:02:24,3.83,44.72%
36,aluvii.com,Travel and Tourism > Tourist Attractions,1,00:10:10,5.52,37.07%
37,phantasialand.de,Travel and Tourism > Tourist Attractions,12,00:02:32,3.84,37.92%
38,rwcruises.com,Travel and Tourism > Tourist Attractions,1,00:06:59,3.79,39.89%
39,fullfen.tw,Travel and Tourism > Tourist Attractions,2,00:01:56,1.69,73.11%
40,mtl.org,Travel and Tourism > Tourist Attractions,2,00:01:53,2.39,52.6%
41,blogmickey.com,Travel and Tourism > Tourist Attractions,22,00:01:10,1.41,59.38%
42,pelago.com,Travel and Tourism > Tourist Attractions,8,00:01:20,2.28,51.6%
43,altontowers.com,Travel and Tourism > Tourist Attractions,3,00:02:26,3.11,37.99%
44,markandhazyl.com,Travel and Tourism > Tourist Attractions,27,00:00:31,1.18,80.42%
45,fujiq.jp,Travel and Tourism > Tourist Attractions,8,00:03:45,3.77,52.42%
46,bookme.co.nz,Travel and Tourism > Tourist Attractions,6,00:03:13,3.97,40.44%
47,floridastatefair.com,Travel and Tourism > Tourist Attractions,175,00:02:11,4.61,44.25%
48,disneysprings.com,Travel and Tourism > Tourist Attractions,5,00:02:04,2.60,42.42%
49,portaventuraworld.com,Travel and Tourism > Tourist Attractions,4,00:02:16,3.40,38.45%
50,knotts.com,Travel and Tourism > Tourist Attractions,12,00:01:58,2.29,46.8%
