Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,redbus.in,Travel and Tourism > Transportation and Excursions,=,00:05:17,3.73,33.86%
2,amtrak.com,Travel and Tourism > Transportation and Excursions,=,00:06:23,4.73,33.96%
3,partiful.com,Travel and Tourism > Transportation and Excursions,1,00:04:19,4.01,39.61%
4,mta.info,Travel and Tourism > Transportation and Excursions,1,00:04:02,3.33,47.54%
5,ihighway.jp,Travel and Tourism > Transportation and Excursions,3,00:02:47,2.70,43.38%
6,biltrewards.com,Travel and Tourism > Transportation and Excursions,=,00:03:30,5.17,36.34%
7,flynas.com,Travel and Tourism > Transportation and Excursions,2,00:05:25,3.90,42.25%
8,sunpass.com,Travel and Tourism > Transportation and Excursions,1,00:04:35,7.45,29.61%
9,tripcheck.com,Travel and Tourism > Transportation and Excursions,6,00:01:46,1.58,75.96%
10,parkopedia.co.uk,Travel and Tourism > Transportation and Excursions,1,00:02:19,3.68,31.3%
11,linkt.com.au,Travel and Tourism > Transportation and Excursions,2,00:03:25,6.23,28.45%
12,airmiles.ca,Travel and Tourism > Transportation and Excursions,2,00:04:21,6.17,33.2%
13,justpark.com,Travel and Tourism > Transportation and Excursions,1,00:02:17,3.37,43.82%
14,bayareafastrak.org,Travel and Tourism > Transportation and Excursions,2,00:03:41,6.96,28.02%
15,511on.ca,Travel and Tourism > Transportation and Excursions,5,00:02:18,2.66,56.44%
16,drivebc.ca,Travel and Tourism > Transportation and Excursions,2,00:03:25,5.49,36.66%
17,paturnpike.com,Travel and Tourism > Transportation and Excursions,1,00:20:56,6.30,30.14%
18,yourparkingspace.co.uk,Travel and Tourism > Transportation and Excursions,5,00:03:40,3.69,40.22%
19,omny.info,Travel and Tourism > Transportation and Excursions,=,00:03:25,4.54,40.2%
20,407etr.com,Travel and Tourism > Transportation and Excursions,1,00:04:15,7.29,21.9%
21,thetollroads.com,Travel and Tourism > Transportation and Excursions,4,00:03:18,5.76,29.78%
22,illinoistollway.com,Travel and Tourism > Transportation and Excursions,12,00:02:40,2.36,50.37%
23,sigalert.com,Travel and Tourism > Transportation and Excursions,1,00:03:18,5.63,39.59%
24,megabus.com,Travel and Tourism > Transportation and Excursions,3,00:03:33,4.77,35.63%
25,martzbus.com,Travel and Tourism > Transportation and Excursions,1,00:06:52,7.30,23.49%
26,apcoa.co.uk,Travel and Tourism > Transportation and Excursions,2,00:02:05,3.26,30.59%
27,itasoftware.com,Travel and Tourism > Transportation and Excursions,1,00:05:20,8.30,25.26%
28,sanef.com,Travel and Tourism > Transportation and Excursions,5,00:04:28,7.86,34.74%
29,theparkingspot.com,Travel and Tourism > Transportation and Excursions,2,00:02:58,3.27,40.97%
30,travelquiz.com,Travel and Tourism > Transportation and Excursions,6,00:02:26,1.82,61.7%
31,nuego.in,Travel and Tourism > Transportation and Excursions,2,00:04:14,2.73,45.24%
32,gobrightline.com,Travel and Tourism > Transportation and Excursions,2,00:02:50,3.39,40.48%
33,sevn.ly,Travel and Tourism > Transportation and Excursions,1,00:00:19,1.23,74.05%
34,511pa.com,Travel and Tourism > Transportation and Excursions,5,00:03:09,3.29,32.19%
35,mitie.com,Travel and Tourism > Transportation and Excursions,2,00:03:02,4.45,30.99%
36,almatar.com,Travel and Tourism > Transportation and Excursions,5,00:03:21,4.35,34.37%
37,nouvelair.com,Travel and Tourism > Transportation and Excursions,2,00:05:24,4.65,34.57%
38,wymetro.com,Travel and Tourism > Transportation and Excursions,2,00:08:36,4.32,34.87%
39,zingbus.com,Travel and Tourism > Transportation and Excursions,=,00:01:09,3.25,13.46%
40,ohgo.com,Travel and Tourism > Transportation and Excursions,15,00:03:04,14.08,13.93%
41,sleepinginairports.net,Travel and Tourism > Transportation and Excursions,3,00:01:53,2.58,45.56%
42,spotangels.com,Travel and Tourism > Transportation and Excursions,=,00:01:33,7.11,31.9%
43,13cabs.com.au,Travel and Tourism > Transportation and Excursions,=,00:02:45,2.39,53.35%
44,tollguru.com,Travel and Tourism > Transportation and Excursions,2,00:00:55,1.75,56.2%
45,nvroads.com,Travel and Tourism > Transportation and Excursions,29,00:02:04,2.09,61.85%
46,veolia.co.uk,Travel and Tourism > Transportation and Excursions,1,00:04:47,3.31,42.97%
47,q-park.co.uk,Travel and Tourism > Transportation and Excursions,6,00:01:47,3.06,32.67%
48,lcwc911.us,Travel and Tourism > Transportation and Excursions,1,01:25:31,84.79,38.94%
49,market.jr-central.co.jp,Travel and Tourism > Transportation and Excursions,12,00:02:11,3.80,52.39%
50,lirr.org,Travel and Tourism > Transportation and Excursions,2,00:04:50,5.47,11.84%
