Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,tripadvisor.com,Travel and Tourism > Travel and Tourism - Other,=,00:02:41,3.13,58.09%
2,trip.com,Travel and Tourism > Travel and Tourism - Other,=,00:03:28,3.43,51.5%
3,irctc.co.in,Travel and Tourism > Travel and Tourism - Other,=,00:06:12,5.23,26.26%
4,navitime.co.jp,Travel and Tourism > Travel and Tourism - Other,=,00:02:49,2.74,52.95%
5,travel.rakuten.co.jp,Travel and Tourism > Travel and Tourism - Other,=,00:07:08,6.85,35.84%
6,makemytrip.com,Travel and Tourism > Travel and Tourism - Other,=,00:04:51,4.45,41.7%
7,rome2rio.com,Travel and Tourism > Travel and Tourism - Other,=,00:02:39,3.24,39.08%
8,tripadvisor.co.uk,Travel and Tourism > Travel and Tourism - Other,=,00:03:08,3.46,49.75%
9,kayak.com,Travel and Tourism > Travel and Tourism - Other,=,00:03:52,5.39,33.29%
10,priceline.com,Travel and Tourism > Travel and Tourism - Other,=,00:04:37,4.23,43.05%
11,tripadvisor.it,Travel and Tourism > Travel and Tourism - Other,=,00:02:13,3.01,35.82%
12,tutu.ru,Travel and Tourism > Travel and Tourism - Other,=,00:03:22,3.51,42.2%
13,tripadvisor.in,Travel and Tourism > Travel and Tourism - Other,=,00:01:49,2.14,52.53%
14,ikyu.com,Travel and Tourism > Travel and Tourism - Other,=,00:05:03,5.45,41.28%
15,triptoday365.com,Travel and Tourism > Travel and Tourism - Other,1,00:01:47,1.80,72.84%
16,jr-central.co.jp,Travel and Tourism > Travel and Tourism - Other,13,00:04:33,4.41,38.28%
17,sncf-connect.com,Travel and Tourism > Travel and Tourism - Other,=,00:04:54,5.35,36.93%
18,tripadvisor.fr,Travel and Tourism > Travel and Tourism - Other,6,00:02:27,3.48,39.48%
19,aaa.com,Travel and Tourism > Travel and Tourism - Other,1,00:05:12,6.44,36.42%
20,tripadvisor.es,Travel and Tourism > Travel and Tourism - Other,2,00:02:15,2.85,51.01%
21,trenitalia.com,Travel and Tourism > Travel and Tourism - Other,12,00:02:10,2.15,45.11%
22,nps.gov,Travel and Tourism > Travel and Tourism - Other,13,00:02:38,2.69,54.33%
23,tripadvisor.com.br,Travel and Tourism > Travel and Tourism - Other,8,00:02:19,2.05,57.29%
24,lefrecce.it,Travel and Tourism > Travel and Tourism - Other,14,00:04:15,4.20,22.77%
25,tripadvisor.ru,Travel and Tourism > Travel and Tourism - Other,=,00:02:43,3.56,47.63%
26,royalcaribbean.com,Travel and Tourism > Travel and Tourism - Other,6,00:05:37,8.70,32.22%
27,eki-net.com,Travel and Tourism > Travel and Tourism - Other,10,00:07:02,13.05,23.55%
28,tiket.com,Travel and Tourism > Travel and Tourism - Other,11,00:02:11,4.59,22.01%
29,travel.yandex.ru,Travel and Tourism > Travel and Tourism - Other,1,00:04:01,4.56,58.16%
30,tui.co.uk,Travel and Tourism > Travel and Tourism - Other,11,00:06:38,4.84,42.71%
31,ctrip.com,Travel and Tourism > Travel and Tourism - Other,8,00:06:18,6.43,34.52%
32,travel.yahoo.co.jp,Travel and Tourism > Travel and Tourism - Other,4,00:04:54,4.63,57.6%
33,obilet.com,Travel and Tourism > Travel and Tourism - Other,12,00:04:38,4.67,28.5%
34,jr-odekake.net,Travel and Tourism > Travel and Tourism - Other,7,00:04:34,6.41,38.43%
35,travelandleisure.com,Travel and Tourism > Travel and Tourism - Other,9,00:01:02,1.72,57.23%
36,goibibo.com,Travel and Tourism > Travel and Tourism - Other,=,00:04:16,3.76,40.86%
37,skylinewebcams.com,Travel and Tourism > Travel and Tourism - Other,10,00:03:01,4.36,34.62%
38,carnival.com,Travel and Tourism > Travel and Tourism - Other,6,00:06:29,7.61,38.51%
39,bergfex.at,Travel and Tourism > Travel and Tourism - Other,8,00:02:44,2.57,56.84%
40,kiwi.com,Travel and Tourism > Travel and Tourism - Other,2,00:04:11,6.15,27.08%
41,jet2holidays.com,Travel and Tourism > Travel and Tourism - Other,7,00:07:15,5.06,45.61%
42,jtb.co.jp,Travel and Tourism > Travel and Tourism - Other,1,00:04:55,4.62,46.06%
43,vfsglobal.com,Travel and Tourism > Travel and Tourism - Other,6,00:06:35,6.28,32.78%
44,tripadvisor.de,Travel and Tourism > Travel and Tourism - Other,1,00:02:47,3.28,54.77%
45,lastminute.com,Travel and Tourism > Travel and Tourism - Other,8,00:05:34,7.82,29.14%
46,decolar.com,Travel and Tourism > Travel and Tourism - Other,6,00:05:09,5.05,37.5%
47,renfe.com,Travel and Tourism > Travel and Tourism - Other,=,00:04:48,5.35,35.07%
48,ixigo.com,Travel and Tourism > Travel and Tourism - Other,2,00:03:36,3.81,42.97%
49,tripadvisor.ca,Travel and Tourism > Travel and Tourism - Other,1,00:03:10,3.75,54.83%
50,ncl.com,Travel and Tourism > Travel and Tourism - Other,4,00:05:15,7.14,37.44%
