Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,autozone.com,Vehicles > Automotive Industry,=,00:03:39,3.64,43.71%
2,carview.co.jp,Vehicles > Automotive Industry,=,00:05:33,5.67,44.24%
3,goo-net.com,Vehicles > Automotive Industry,=,00:04:45,4.88,49.68%
4,hyundai.com,Vehicles > Automotive Industry,=,00:01:40,3.81,33.52%
5,rockauto.com,Vehicles > Automotive Industry,=,00:05:45,8.20,39.89%
6,carsales.com.au,Vehicles > Automotive Industry,=,00:05:25,7.92,35.45%
7,oreillyauto.com,Vehicles > Automotive Industry,=,00:04:09,3.69,43.84%
8,nalog.gov.ru,Vehicles > Automotive Industry,2,00:02:21,2.09,61.73%
9,copart.com,Vehicles > Automotive Industry,1,00:07:54,11.11,33.31%
10,exist.ru,Vehicles > Automotive Industry,1,00:06:45,5.47,31.99%
11,av.by,Vehicles > Automotive Industry,1,00:07:58,9.39,30.51%
12,interac-id.ca,Vehicles > Automotive Industry,3,00:03:13,3.25,10.35%
13,alldata.com,Vehicles > Automotive Industry,=,00:08:56,10.04,16.01%
14,advanceautoparts.com,Vehicles > Automotive Industry,5,00:03:13,3.49,49.73%
15,nissan.co.jp,Vehicles > Automotive Industry,1,00:02:42,3.13,61.54%
16,intercars.eu,Vehicles > Automotive Industry,1,00:14:28,10.93,18.65%
17,michelin.com,Vehicles > Automotive Industry,1,00:02:41,5.38,42.87%
18,partslink24.com,Vehicles > Automotive Industry,=,00:17:56,27.17,10.33%
19,rossko.ru,Vehicles > Automotive Industry,3,00:11:56,9.65,17.04%
20,forgee.xyz,Vehicles > Automotive Industry,=,00:03:51,4.53,39.49%
21,suzuki.co.jp,Vehicles > Automotive Industry,4,00:04:20,4.87,41.87%
22,marutisuzuki.com,Vehicles > Automotive Industry,2,00:01:42,2.72,56.99%
23,cars.av.by,Vehicles > Automotive Industry,1,00:09:41,9.79,29.63%
24,gasbuddy.com,Vehicles > Automotive Industry,1,00:01:33,3.10,56.71%
25,summitracing.com,Vehicles > Automotive Industry,4,00:03:50,4.03,53.42%
26,iaai.com,Vehicles > Automotive Industry,5,00:09:41,13.30,24.54%
27,discounttire.com,Vehicles > Automotive Industry,1,00:04:56,5.56,42.93%
28,mobile.bg,Vehicles > Automotive Industry,1,00:08:15,11.52,20.65%
29,emex.ru,Vehicles > Automotive Industry,2,00:08:37,7.50,32.34%
30,cars24.com,Vehicles > Automotive Industry,=,00:01:49,2.88,37.3%
31,autozonepro.com,Vehicles > Automotive Industry,2,00:07:29,5.43,22.99%
32,tatamotors.com,Vehicles > Automotive Industry,4,00:08:14,6.88,47.58%
33,byd.com,Vehicles > Automotive Industry,7,00:03:11,4.82,25.14%
34,prodemand.com,Vehicles > Automotive Industry,1,00:05:47,7.58,14.46%
35,firstcallonline.com,Vehicles > Automotive Industry,2,00:07:47,6.29,19.95%
36,partsgeek.com,Vehicles > Automotive Industry,2,00:04:09,5.02,50.28%
37,supercheapauto.com.au,Vehicles > Automotive Industry,5,00:04:14,3.96,41.11%
38,tirerack.com,Vehicles > Automotive Industry,=,00:04:08,5.39,34.01%
39,armtek.ru,Vehicles > Automotive Industry,12,00:07:37,4.98,37.4%
40,carparts-cat.com,Vehicles > Automotive Industry,8,00:19:30,12.67,15.4%
41,autopiter.ru,Vehicles > Automotive Industry,8,00:06:17,4.34,45.92%
42,identifix.com,Vehicles > Automotive Industry,8,00:06:37,8.94,18.47%
43,autodoc.de,Vehicles > Automotive Industry,4,00:03:37,3.78,40.47%
44,webuycars.co.za,Vehicles > Automotive Industry,1,00:04:48,7.54,23.39%
45,nexpart.com,Vehicles > Automotive Industry,7,00:09:53,5.32,20.46%
46,oscaro.com,Vehicles > Automotive Industry,3,00:03:43,5.19,27.92%
47,tekmetric.com,Vehicles > Automotive Industry,5,00:28:59,29.74,27.03%
48,bid.cars,Vehicles > Automotive Industry,7,00:03:41,5.23,35.56%
49,response.jp,Vehicles > Automotive Industry,3,00:01:05,2.77,53.27%
50,astra.co.id,Vehicles > Automotive Industry,14,00:03:54,7.56,30.91%
