Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,flightradar24.com,Vehicles > Aviation,=,00:06:39,11.19,24.56%
2,cashwalk.com,Vehicles > Aviation,=,00:01:56,2.39,33.37%
3,jetphotos.com,Vehicles > Aviation,=,00:01:49,2.80,50.06%
4,vda.ru,Vehicles > Aviation,1,00:06:56,6.54,20.41%
5,finuslugi.ru,Vehicles > Aviation,1,00:02:49,3.45,59.12%
6,ipmetradar.com.br,Vehicles > Aviation,2,00:02:46,1.65,57.16%
7,aviationweather.gov,Vehicles > Aviation,2,00:14:23,3.78,41.28%
8,flugrevue.de,Vehicles > Aviation,3,00:00:51,1.66,48.61%
9,planespotters.net,Vehicles > Aviation,1,00:03:13,5.77,36.11%
10,airliners.net,Vehicles > Aviation,2,00:04:55,4.54,38.27%
11,airporthaber2.com,Vehicles > Aviation,4,00:02:20,2.01,56.38%
12,atplquestions.com,Vehicles > Aviation,1,00:15:08,6.63,21.53%
13,liveatc.net,Vehicles > Aviation,8,00:12:08,6.31,35.95%
14,pprune.org,Vehicles > Aviation,1,00:03:26,5.14,44.03%
15,lmco.com,Vehicles > Aviation,5,00:11:38,10.28,14.68%
16,avherald.com,Vehicles > Aviation,1,00:01:49,2.67,42.37%
17,togg.com.tr,Vehicles > Aviation,3,00:01:02,3.66,11.18%
18,metar-taf.com,Vehicles > Aviation,=,00:03:13,3.45,43.88%
19,lordfilm-vse-chasti.ru,Vehicles > Aviation,3,00:00:47,1.19,87.5%
20,controller.com,Vehicles > Aviation,2,00:03:42,6.06,35.6%
21,foto-webcam.eu,Vehicles > Aviation,2,00:02:32,5.02,38.2%
22,careers.oracle.com,Vehicles > Aviation,1,00:03:45,4.92,38.06%
23,foreflight.com,Vehicles > Aviation,1,00:10:24,16.73,24.03%
24,flightsafety.org,Vehicles > Aviation,2,00:02:26,5.24,42.22%
25,aopa.org,Vehicles > Aviation,2,00:01:59,2.82,57.41%
26,flightlogger.net,Vehicles > Aviation,16,00:06:19,5.06,28.54%
27,sonexbuilders.net,Vehicles > Aviation,2,00:04:43,2.73,35.98%
28,pilotinstitute.com,Vehicles > Aviation,2,00:05:38,4.00,56.07%
29,auto.suzuki.co.id,Vehicles > Aviation,11,00:03:48,2.64,51.09%
30,climaeradar.com.br,Vehicles > Aviation,8,00:00:40,6.64,10.95%
31,txtav.com,Vehicles > Aviation,2,00:07:28,9.98,32.66%
32,airshow.com.au,Vehicles > Aviation,5,00:01:50,1.38,79.47%
33,mycity-military.com,Vehicles > Aviation,2,00:09:38,7.05,21.19%
34,artflow.ai,Vehicles > Aviation,1,00:04:30,5.04,41.64%
35,airliners.de,Vehicles > Aviation,7,00:00:57,2.21,50.57%
36,skybrary.aero,Vehicles > Aviation,=,00:01:05,1.84,57.08%
37,flyingmag.com,Vehicles > Aviation,3,00:00:45,1.52,55.19%
38,avweb.com,Vehicles > Aviation,3,00:00:20,1.34,53.19%
39,trade-a-plane.com,Vehicles > Aviation,=,00:03:29,6.66,35.73%
40,cae.com,Vehicles > Aviation,4,00:04:57,5.35,38.12%
41,w-rental.co.kr,Vehicles > Aviation,22,00:00:35,1.09,92.42%
42,airnav.com,Vehicles > Aviation,3,00:01:29,2.48,51.81%
43,ez-iok.com,Vehicles > Aviation,12,00:01:00,1.68,65.6%
44,pilotsofamerica.com,Vehicles > Aviation,4,00:01:52,2.25,54.54%
45,talonsystems.com,Vehicles > Aviation,2,00:08:32,7.32,15.87%
46,saab.com,Vehicles > Aviation,10,00:01:08,2.59,53.28%
47,globalair.com,Vehicles > Aviation,1,00:01:16,2.43,52.34%
48,aviation.flights,Vehicles > Aviation,5,00:02:12,1.92,53.37%
49,navcanada.ca,Vehicles > Aviation,1,00:01:26,2.15,51.76%
50,fois.go.kr,Vehicles > Aviation,18,00:04:35,5.34,32.78%
