Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,vendeeglobe.org,Vehicles > Boats,=,00:02:25,2.59,40.47%
2,thehulltruth.com,Vehicles > Boats,=,00:03:47,4.45,53.19%
3,lamma.toscana.it,Vehicles > Boats,=,00:00:43,1.51,50.39%
4,boat24.com,Vehicles > Boats,=,00:04:50,6.66,38.95%
5,cruisersforum.com,Vehicles > Boats,1,00:02:05,2.15,57.16%
6,boatinternational.com,Vehicles > Boats,3,00:01:28,2.27,55.07%
7,sailinganarchy.com,Vehicles > Boats,=,00:05:18,7.40,35.36%
8,ybw.com,Vehicles > Boats,=,00:01:40,2.03,54.8%
9,boatsales.com.au,Vehicles > Boats,4,00:03:06,5.48,38.31%
10,equasis.org,Vehicles > Boats,1,00:03:15,4.22,22.88%
11,boatsonline.com.au,Vehicles > Boats,1,00:04:57,5.18,34.7%
12,bbcboards.net,Vehicles > Boats,1,00:02:25,6.31,55.05%
13,iboats.com,Vehicles > Boats,3,00:00:52,1.70,62.08%
14,lodka44.ru,Vehicles > Boats,15,00:07:57,5.49,36.89%
15,predictwind.com,Vehicles > Boats,2,00:01:51,2.14,49.7%
16,popsells.com,Vehicles > Boats,5,00:03:55,3.55,49.58%
17,apolloduck.co.uk,Vehicles > Boats,9,00:03:54,6.98,31.02%
18,bateaux.com,Vehicles > Boats,4,00:01:08,1.83,48.5%
19,sailboatdata.com,Vehicles > Boats,9,00:02:00,2.85,50.93%
20,mercurymarine.com,Vehicles > Boats,4,00:01:45,3.26,43.64%
21,northsails.com,Vehicles > Boats,3,00:02:21,5.02,35%
22,superyachttimes.com,Vehicles > Boats,1,00:01:11,1.97,52.87%
23,gpsnauticalcharts.com,Vehicles > Boats,7,00:02:53,24.06,30.43%
24,hisse-et-oh.com,Vehicles > Boats,12,00:02:40,3.08,54.35%
25,maps.garmin.com,Vehicles > Boats,2,00:03:08,2.98,33.49%
26,bassproboatingcenters.com,Vehicles > Boats,11,00:02:28,4.21,37.66%
27,go-app-plus.com,Vehicles > Boats,8,00:02:39,1.55,71.98%
28,marinerescuensw.com.au,Vehicles > Boats,6,00:11:06,4.24,32.6%
29,boats.net,Vehicles > Boats,4,00:03:18,5.49,39.32%
30,motolodka.ru,Vehicles > Boats,12,00:01:57,2.38,58.84%
31,yacht.de,Vehicles > Boats,16,00:01:30,1.73,59.62%
32,trawlerforum.com,Vehicles > Boats,=,00:02:03,3.73,35.27%
33,walleyecentral.com,Vehicles > Boats,2,00:02:25,2.74,45.69%
34,defender.com,Vehicles > Boats,13,00:02:18,3.64,48.72%
35,riverdavesplace.com,Vehicles > Boats,3,00:03:20,3.50,43.1%
36,tide.no,Vehicles > Boats,34,00:06:25,6.35,23.81%
37,raymarine.com,Vehicles > Boats,6,00:01:43,2.97,43.09%
38,theyachtmarket.com,Vehicles > Boats,23,00:01:57,3.42,37.98%
39,itboat.com,Vehicles > Boats,13,00:01:31,6.17,36.18%
40,landnsea.net,Vehicles > Boats,11,00:08:26,10.06,14%
41,nauticexpo.com,Vehicles > Boats,=,00:01:13,2.12,52.75%
42,inautia.com,Vehicles > Boats,11,00:01:39,3.19,39.93%
43,elwis.de,Vehicles > Boats,9,00:01:00,1.93,69.76%
44,fisheriessupply.com,Vehicles > Boats,2,00:06:19,6.29,28.47%
45,boatdesign.net,Vehicles > Boats,=,00:01:13,1.89,54.7%
46,annoncesbateau.com,Vehicles > Boats,10,00:03:57,5.02,44.49%
47,marinet.ru,Vehicles > Boats,8,00:04:31,3.94,33.82%
48,arimaowners.com,Vehicles > Boats,9,00:09:36,9.42,38.7%
49,boatus.com,Vehicles > Boats,13,00:01:34,2.66,55.21%
50,boatsetter.com,Vehicles > Boats,21,00:03:23,8.35,43.47%
