Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,kia.com,Vehicles > Makes and Models,1,00:02:20,3.84,46.23%
2,tesla.com,Vehicles > Makes and Models,1,00:03:17,7.43,28.8%
3,toyota.com,Vehicles > Makes and Models,=,00:03:49,5.99,43.57%
4,ford.com,Vehicles > Makes and Models,=,00:05:38,7.87,37.27%
5,honda.co.jp,Vehicles > Makes and Models,=,00:03:13,4.24,39.75%
6,honda.com,Vehicles > Makes and Models,=,00:03:43,5.24,37.38%
7,porsche.com,Vehicles > Makes and Models,=,00:04:40,12.21,30.39%
8,volvocars.com,Vehicles > Makes and Models,1,00:02:03,3.47,50.37%
9,hyundaiusa.com,Vehicles > Makes and Models,1,00:02:40,3.54,49.66%
10,subaru.com,Vehicles > Makes and Models,=,00:02:04,2.49,51.64%
11,mercedes-benz.com,Vehicles > Makes and Models,=,00:09:46,9.49,26.1%
12,econmingle.com,Vehicles > Makes and Models,2,00:01:08,1.44,79.33%
13,jeep.com,Vehicles > Makes and Models,1,00:02:08,3.73,42.24%
14,chevrolet.com,Vehicles > Makes and Models,1,00:03:08,5.27,42.95%
15,gm.com,Vehicles > Makes and Models,2,00:04:20,5.48,39.4%
16,nissanusa.com,Vehicles > Makes and Models,1,00:02:10,3.44,48.71%
17,mazdausa.com,Vehicles > Makes and Models,1,00:02:03,2.94,46.97%
18,bmwusa.com,Vehicles > Makes and Models,=,00:03:05,6.17,32.87%
19,carsandbids.com,Vehicles > Makes and Models,=,00:04:03,4.79,39.14%
20,lexus.com,Vehicles > Makes and Models,=,00:02:38,5.34,40.91%
21,genesis.com,Vehicles > Makes and Models,=,00:01:54,5.91,39.13%
22,mbusa.com,Vehicles > Makes and Models,=,00:02:48,4.28,44.83%
23,ford-trucks.com,Vehicles > Makes and Models,=,00:02:47,2.05,62.87%
24,renault.com,Vehicles > Makes and Models,=,00:06:03,6.69,29.93%
25,toyota.com.br,Vehicles > Makes and Models,2,00:01:27,1.63,60.14%
26,vw.com,Vehicles > Makes and Models,1,00:01:42,4.31,36.85%
27,toyota.com.tr,Vehicles > Makes and Models,8,00:01:21,3.26,27.09%
28,polestar.com,Vehicles > Makes and Models,10,00:02:08,4.61,36.97%
29,shop.ford.com,Vehicles > Makes and Models,=,00:04:34,13.54,24.88%
30,fiat.com,Vehicles > Makes and Models,3,00:07:49,8.27,19.44%
31,mercedes-benz.de,Vehicles > Makes and Models,1,00:05:10,11.16,29.66%
32,chevrolet.com.mx,Vehicles > Makes and Models,1,00:01:56,2.98,40.53%
33,volkswagen.de,Vehicles > Makes and Models,1,00:04:14,7.09,34.69%
34,dodge.com,Vehicles > Makes and Models,8,00:01:08,3.55,39.79%
35,cadillac.com,Vehicles > Makes and Models,3,00:02:16,4.31,42.96%
36,newautopost.co.kr,Vehicles > Makes and Models,8,00:01:03,1.31,77.61%
37,audiusa.com,Vehicles > Makes and Models,2,00:01:51,4.24,40.08%
38,bmw.de,Vehicles > Makes and Models,3,00:04:16,8.45,30.25%
39,acura.com,Vehicles > Makes and Models,13,00:01:36,3.52,56.49%
40,honda.mx,Vehicles > Makes and Models,9,00:01:22,2.43,63.33%
41,toyota.ca,Vehicles > Makes and Models,1,00:02:51,3.48,37.69%
42,f150forum.com,Vehicles > Makes and Models,5,00:04:20,3.82,51.3%
43,teslamotorsclub.com,Vehicles > Makes and Models,7,00:02:01,2.18,58.02%
44,vwvortex.com,Vehicles > Makes and Models,4,00:01:43,2.48,51.16%
45,honda.com.tr,Vehicles > Makes and Models,1,00:01:09,3.05,24.9%
46,renault.fr,Vehicles > Makes and Models,1,00:03:03,4.19,37.04%
47,toyotafinancial.com,Vehicles > Makes and Models,2,00:04:14,4.86,24.5%
48,foresttrip.go.kr,Vehicles > Makes and Models,2,00:04:54,6.56,38.21%
49,renault.com.tr,Vehicles > Makes and Models,6,00:01:42,5.19,25.57%
50,audi.de,Vehicles > Makes and Models,2,00:03:56,6.50,31.16%
