Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,motorsport.com,Vehicles > Motorsports,=,00:01:45,2.25,40.31%
2,formula1.com,Vehicles > Motorsports,=,00:02:14,3.08,40.12%
3,nascar.com,Vehicles > Motorsports,11,00:03:20,3.21,42.19%
4,planetf1.com,Vehicles > Motorsports,1,00:01:29,1.85,40%
5,racingnews365.nl,Vehicles > Motorsports,1,00:02:34,2.32,52.2%
6,gpfans.com,Vehicles > Motorsports,1,00:02:10,1.69,42.71%
7,crash.net,Vehicles > Motorsports,3,00:01:57,2.29,39.55%
8,formulapassion.it,Vehicles > Motorsports,=,00:02:32,2.35,49.15%
9,speedweek.com,Vehicles > Motorsports,2,00:02:28,2.87,40.79%
10,f1-gate.com,Vehicles > Motorsports,4,00:02:39,2.34,48.31%
11,gpblog.com,Vehicles > Motorsports,4,00:02:46,2.85,46.54%
12,as-web.jp,Vehicles > Motorsports,3,00:02:36,2.75,47.8%
13,motogp.com,Vehicles > Motorsports,22,00:02:20,3.69,36.02%
14,the-race.com,Vehicles > Motorsports,3,00:01:38,2.09,40.32%
15,paddock-gp.com,Vehicles > Motorsports,6,00:02:19,2.19,55.5%
16,gp33.nl,Vehicles > Motorsports,1,00:01:59,1.82,57.75%
17,gpone.com,Vehicles > Motorsports,7,00:01:23,2.11,43.29%
18,ferrari.com,Vehicles > Motorsports,1,00:02:06,5.52,37.81%
19,f1maximaal.nl,Vehicles > Motorsports,1,00:03:05,2.13,44.22%
20,f1news.ru,Vehicles > Motorsports,=,00:02:44,3.51,40.39%
21,nflbuddy.net,Vehicles > Motorsports,9,00:01:39,1.51,82.06%
22,jayski.com,Vehicles > Motorsports,5,00:02:30,3.21,42.07%
23,motorsport-total.com,Vehicles > Motorsports,=,00:02:39,3.08,55.48%
24,f1jouhou2.com,Vehicles > Motorsports,11,00:02:44,2.25,39.41%
25,stellantis.com,Vehicles > Motorsports,3,00:01:58,2.63,50.47%
26,nextgen-auto.com,Vehicles > Motorsports,1,00:01:16,2.15,50.39%
27,grandepremio.com.br,Vehicles > Motorsports,4,00:02:29,1.47,27.92%
28,motorcyclesports.net,Vehicles > Motorsports,6,00:01:13,1.57,70.24%
29,formel1.de,Vehicles > Motorsports,4,00:02:07,2.80,36.06%
30,gptoday.net,Vehicles > Motorsports,16,00:02:21,2.28,53.93%
31,autosport.com,Vehicles > Motorsports,1,00:01:49,2.84,47.24%
32,f1oversteer.com,Vehicles > Motorsports,6,00:02:03,1.78,52.35%
33,racer.com,Vehicles > Motorsports,1,00:01:33,2.13,45.87%
34,autoracing.com.br,Vehicles > Motorsports,2,00:00:50,1.68,26.35%
35,thejudge13.com,Vehicles > Motorsports,6,00:00:55,1.56,57.36%
36,motorsport-magazin.com,Vehicles > Motorsports,12,00:01:35,2.06,42.84%
37,speedcafe.com,Vehicles > Motorsports,12,00:02:31,2.10,52.02%
38,carburando.com,Vehicles > Motorsports,1,00:00:31,1.88,31.51%
39,motosan.es,Vehicles > Motorsports,11,00:01:16,1.46,71.31%
40,motorsport.uol.com.br,Vehicles > Motorsports,=,00:01:47,1.74,57.88%
41,wrc.com,Vehicles > Motorsports,14,00:03:05,4.20,43.9%
42,liner.hu,Vehicles > Motorsports,6,00:00:33,1.32,75.67%
43,thumpertalk.com,Vehicles > Motorsports,=,00:02:27,2.27,57.52%
44,racingnews365.com,Vehicles > Motorsports,6,00:01:02,1.69,52.69%
45,moto.mercadolibre.com.ar,Vehicles > Motorsports,=,00:05:07,8.27,36.21%
46,racerxonline.com,Vehicles > Motorsports,8,00:02:01,2.63,52.72%
47,f1mania.net,Vehicles > Motorsports,=,00:01:47,1.27,30.54%
48,mclaren.com,Vehicles > Motorsports,3,00:01:19,2.70,43.73%
49,zeekrlife.com,Vehicles > Motorsports,10,00:04:46,5.07,41.41%
50,f1online.sk,Vehicles > Motorsports,8,00:01:02,2.64,18.56%
