Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate
1,drive2.ru,Vehicles > Vehicles - Other,=,00:04:06,3.29,47.25%
2,drom.ru,Vehicles > Vehicles - Other,=,00:08:25,14.53,35.22%
3,mobile.de,Vehicles > Vehicles - Other,1,00:09:33,9.90,25.76%
4,carfax.com,Vehicles > Vehicles - Other,1,00:04:54,5.28,45.9%
5,carwale.com,Vehicles > Vehicles - Other,=,00:03:34,4.13,41.38%
6,justanswer.com,Vehicles > Vehicles - Other,=,00:01:04,1.54,66.51%
7,carsensor.net,Vehicles > Vehicles - Other,1,00:06:30,7.53,41.18%
8,cargurus.com,Vehicles > Vehicles - Other,1,00:05:18,4.93,44.94%
9,autotrader.co.uk,Vehicles > Vehicles - Other,=,00:08:05,11.11,26.64%
10,cardekho.com,Vehicles > Vehicles - Other,=,00:02:26,3.36,39.33%
11,auto.ru,Vehicles > Vehicles - Other,1,00:04:44,9.75,21.51%
12,kuruma-news.jp,Vehicles > Vehicles - Other,1,00:01:36,3.19,51.79%
13,webmotors.com.br,Vehicles > Vehicles - Other,2,00:04:18,5.41,37.07%
14,autotrader.com,Vehicles > Vehicles - Other,=,00:05:36,6.01,42.7%
15,cars.com,Vehicles > Vehicles - Other,=,00:04:21,5.53,44.01%
16,auto.drom.ru,Vehicles > Vehicles - Other,=,00:08:03,19.11,24.86%
17,autohome.com.cn,Vehicles > Vehicles - Other,4,00:04:37,11.62,34.27%
18,carvana.com,Vehicles > Vehicles - Other,2,00:05:12,5.72,45.02%
19,caranddriver.com,Vehicles > Vehicles - Other,2,00:01:34,2.06,58.48%
20,edmunds.com,Vehicles > Vehicles - Other,2,00:02:46,3.55,41.7%
21,kbb.com,Vehicles > Vehicles - Other,1,00:03:20,4.77,43.92%
22,motor1.com,Vehicles > Vehicles - Other,1,00:01:06,2.43,48.75%
23,bobaedream.co.kr,Vehicles > Vehicles - Other,4,00:05:57,16.29,26.94%
24,auto.mail.ru,Vehicles > Vehicles - Other,=,00:02:33,4.15,32.72%
25,carmax.com,Vehicles > Vehicles - Other,1,00:05:05,6.28,41.83%
26,team-bhp.com,Vehicles > Vehicles - Other,1,00:01:37,3.20,26.3%
27,auto.ria.com,Vehicles > Vehicles - Other,2,00:09:26,11.20,25.8%
28,autoscout24.de,Vehicles > Vehicles - Other,4,00:05:29,6.70,33.53%
29,farpost.ru,Vehicles > Vehicles - Other,1,00:07:40,10.19,29.94%
30,toyota.jp,Vehicles > Vehicles - Other,2,00:03:20,3.41,45.12%
31,adac.de,Vehicles > Vehicles - Other,4,00:02:41,3.49,49.5%
32,autoscout24.it,Vehicles > Vehicles - Other,1,00:06:42,7.65,33.21%
33,autoevolution.com,Vehicles > Vehicles - Other,=,00:00:59,2.02,72.02%
34,t2.ru,Vehicles > Vehicles - Other,1,00:02:58,2.68,58.32%
35,coches.net,Vehicles > Vehicles - Other,3,00:06:29,5.96,47.96%
36,car.gr,Vehicles > Vehicles - Other,2,00:10:14,12.85,26.96%
37,lacentrale.fr,Vehicles > Vehicles - Other,2,00:05:28,8.46,26.07%
38,hasznaltauto.hu,Vehicles > Vehicles - Other,4,00:10:06,11.31,24.46%
39,autotrader.co.za,Vehicles > Vehicles - Other,3,00:05:16,10.58,28.06%
40,garaz.cz,Vehicles > Vehicles - Other,=,00:01:30,1.55,57.9%
41,caradisiac.com,Vehicles > Vehicles - Other,=,00:02:14,2.29,53.45%
42,drivespark.com,Vehicles > Vehicles - Other,1,00:01:32,1.31,43.32%
43,shop.advanceautoparts.com,Vehicles > Vehicles - Other,6,00:03:21,3.40,52.67%
44,bringatrailer.com,Vehicles > Vehicles - Other,2,00:04:09,4.08,39.15%
45,bestcarweb.jp,Vehicles > Vehicles - Other,2,00:01:17,2.86,62.85%
46,autokult.pl,Vehicles > Vehicles - Other,22,00:00:48,1.59,31.89%
47,dongchedi.com,Vehicles > Vehicles - Other,9,00:05:53,10.27,24.41%
48,motortrend.com,Vehicles > Vehicles - Other,3,00:01:07,1.84,57.42%
49,carbuzz.com,Vehicles > Vehicles - Other,17,00:00:51,1.54,71.77%
50,carup.se,Vehicles > Vehicles - Other,7,00:02:48,1.85,59.7%
