Rank,Website,Category,Rank Change,Avg. Visit Duration,Pages / Visit,Bounce Rate,Fetched From
1,pornhub.com,Adult,=,00:07:31,7.63,26.61%,Adult
2,xvideos.com,Adult,=,00:10:07,9.53,23.95%,Adult
3,xhamster.com,Adult,=,00:08:34,7.35,27.89%,Adult
4,xnxx.com,Adult,1,00:09:53,10.53,17.88%,Adult
5,xhamster43.desi,Adult,1,00:10:57,8.37,23.25%,Adult
6,stripchat.com,Adult,=,00:05:08,6.21,38.02%,Adult
7,chaturbate.com,Adult,1,00:08:45,9.11,38.48%,Adult
8,eporner.com,Adult,1,00:06:37,8.56,34.53%,Adult
9,faphouse.com,Adult,=,00:02:49,2.97,61.9%,Adult
10,spankbang.com,Adult,=,00:07:34,7.91,32.08%,Adult
11,xhamster.desi,Adult,=,00:07:22,5.06,32.28%,Adult
12,optvz.com,Adult,=,00:02:30,1.76,59.61%,Adult
13,onlyfans.com,Adult,=,00:04:29,5.52,43.22%,Adult
14,argrowlitheor.com,Adult,332,00:02:25,2.26,29.33%,Adult
15,missav.ws,Adult,1,00:13:29,22.86,17.24%,Adult
16,xhamsterlive.com,Adult,=,00:06:18,6.66,29.44%,Adult
17,dmm.co.jp,Adult,2,00:08:01,9.97,32.53%,Adult
18,livejasmin.com,Adult,1,00:02:06,2.17,73.46%,Adult
19,erome.com,Adult,6,00:05:14,14.74,28.86%,Adult
20,xvv1deos.com,Adult,1,00:08:12,10.75,27.34%,Adult
21,xham.live,Adult,1,00:05:02,4.51,57.72%,Adult
22,stripchatgirls.com,Adult,=,00:03:37,3.14,53.63%,Adult
23,youporn.com,Adult,5,00:06:53,5.35,35.03%,Adult
24,noodlemagazine.com,Adult,2,00:07:26,8.53,30.17%,Adult
25,xnxx.es,Adult,2,00:06:59,9.76,27.8%,Adult
26,holahupa.com,Adult,3,00:04:43,3.69,25.67%,Adult
27,xvideos.es,Adult,5,00:07:31,9.44,30.89%,Adult
28,diagramjawlineunhappy.com,Adult,6,00:04:51,4.06,12.53%,Adult
29,ixxx.com,Adult,1,00:08:06,6.78,20.61%,Adult
30,stikroltiltoowi.net,Adult,30,00:04:36,4.1,29.12%,Adult
31,xnxx.health,Adult,12,00:05:16,7.71,31.86%,Adult
32,cityheaven.net,Adult,3,00:07:58,12.13,30.52%,Adult
33,pornhub.org,Adult,2,00:03:51,8.57,9.75%,Adult
