Website,Category,AVG minutes
bilibili.com,Arts & Entertainment,21.916666666666668
zonatmo.com,Arts & Entertainment,16.8
aniwatchtv.to,Arts & Entertainment,16.633333333333333
demonicscans.org,Arts & Entertainment,16.35
animeflv.net,Arts & Entertainment,11.266666666666667
mgeko.cc,Arts & Entertainment,16.783333333333335
mechacomic.jp,Arts & Entertainment,15.133333333333333
xbato.com,Arts & Entertainment,21.516666666666666
mangajikan.com,Arts & Entertainment,18.966666666666665
mangadex.org,Arts & Entertainment,8.05
9animetv.to,Arts & Entertainment,14.7
jut.su,Arts & Entertainment,19.7
mangakoma01.com,Arts & Entertainment,23.8
weebcentral.com,Arts & Entertainment,17.616666666666667
kingofshojo.com,Arts & Entertainment,17.533333333333335
mangaraw.plus,Arts & Entertainment,4.0
mangago.me,Arts & Entertainment,14.15
manhuatop.org,Arts & Entertainment,17.783333333333335
zonamiau.com,Arts & Entertainment,16.383333333333333
mangalib.me,Arts & Entertainment,13.483333333333333
mangaraw.ma,Arts & Entertainment,22.133333333333333
manhwaclan.com,Arts & Entertainment,15.533333333333333
templetoons.com,Arts & Entertainment,6.5
lekmanga.net,Arts & Entertainment,16.55
eternalmangas.com,Arts & Entertainment,16.15
lightnovelworld.co,Arts & Entertainment,28.866666666666667
piccoma.com,Arts & Entertainment,13.5
vymanga.com,Arts & Entertainment,13.033333333333333
kakuyomu.jp,Arts & Entertainment,19.3
mangabuddy.com,Arts & Entertainment,16.783333333333335
tresdaos.com,Arts & Entertainment,12.9
rinconcitoverde.xyz,Arts & Entertainment,21.033333333333335
webtoons.com,Arts & Entertainment,11.35
manhuaus.com,Arts & Entertainment,9.116666666666667
usagi.one,Arts & Entertainment,32.06666666666667
mangafire.to,Arts & Entertainment,13.216666666666667
anime-sama.fr,Arts & Entertainment,8.433333333333334
manhuagui.com,Arts & Entertainment,11.883333333333333
fandom.com,Arts & Entertainment,4.783333333333333
dcinside.com,Arts & Entertainment,12.6
nate.com,Arts & Entertainment,6.316666666666666
syosetu.com,Arts & Entertainment,20.266666666666666
freepik.com,Arts & Entertainment,7.683333333333334
2345.com,Arts & Entertainment,1.8833333333333333
go.com,Arts & Entertainment,2.7
douban.com,Arts & Entertainment,4.866666666666667
bookmyshow.com,Arts & Entertainment,4.8
pudelek.pl,Arts & Entertainment,3.4
oricon.co.jp,Arts & Entertainment,0.9666666666666667
tmz.com,Arts & Entertainment,2.2666666666666666
unext.jp,Arts & Entertainment,8.316666666666666
suki-kira.com,Arts & Entertainment,9.65
gofundme.com,Arts & Entertainment,1.85
super.cz,Arts & Entertainment,3.3
mydramalist.com,Arts & Entertainment,4.033333333333333
pagesix.com,Arts & Entertainment,1.3
boredpanda.com,Arts & Entertainment,3.65
youku.com,Arts & Entertainment,6.85
pozdravok.com,Arts & Entertainment,2.3
myanimelist.net,Arts & Entertainment,4.15
deadline.com,Arts & Entertainment,1.5833333333333335
tsite.jp,Arts & Entertainment,4.483333333333333
hollywoodreporter.com,Arts & Entertainment,1.1666666666666667
goguynet.jp,Arts & Entertainment,1.0166666666666666
ew.com,Arts & Entertainment,1.1333333333333333
purepeople.com,Arts & Entertainment,1.9
viki.com,Arts & Entertainment,6.183333333333334
syosetu.org,Arts & Entertainment,18.466666666666665
lipstickalley.com,Arts & Entertainment,13.416666666666666
voici.fr,Arts & Entertainment,1.55
hola.com,Arts & Entertainment,1.7333333333333334
natalie.mu,Arts & Entertainment,1.0
jastrzabpost.pl,Arts & Entertainment,1.35
pomponik.pl,Arts & Entertainment,0.8333333333333334
lecturas.com,Arts & Entertainment,1.4333333333333333
ngl.link,Arts & Entertainment,2.966666666666667
timeout.com,Arts & Entertainment,1.3833333333333333
disney.go.com,Arts & Entertainment,3.8333333333333335
b92.net,Arts & Entertainment,5.55
redbubble.com,Arts & Entertainment,2.9333333333333336
kapanlagi.com,Arts & Entertainment,1.8333333333333335
wcostream.tv,Arts & Entertainment,11.866666666666667
archiveofourown.org,Arts & Entertainment,15.366666666666667
novelbin.com,Arts & Entertainment,34.016666666666666
wattpad.com,Arts & Entertainment,18.483333333333334
qidian.com,Arts & Entertainment,15.016666666666667
